x,u
    0.000000,  9.5856442507E-01
    0.004975,  9.6699918498E-01
    0.009950,  9.7448910468E-01
    0.014925,  9.8102686590E-01
    0.019900,  9.8660608068E-01
    0.024876,  9.9122129765E-01
    0.029851,  9.9486800736E-01
    0.034826,  9.9754264666E-01
    0.039801,  9.9924260221E-01
    0.044776,  9.9996621300E-01
    0.049751,  9.9971277200E-01
    0.054726,  9.9848252685E-01
    0.059701,  9.9627667961E-01
    0.064677,  9.9309738556E-01
    0.069652,  9.8894775115E-01
    0.074627,  9.8383183093E-01
    0.079602,  9.7775462358E-01
    0.084577,  9.7072206705E-01
    0.089552,  9.6274103275E-01
    0.094527,  9.5381931881E-01
    0.099502,  9.4396564252E-01
    0.104478,  9.3318963175E-01
    0.109453,  9.2150181558E-01
    0.114428,  9.0891361399E-01
    0.119403,  8.9543732672E-01
    0.124378,  8.8108612125E-01
    0.129353,  8.6587401993E-01
    0.134328,  8.4981588626E-01
    0.139303,  8.3292741041E-01
    0.144279,  8.1522509385E-01
    0.149254,  7.9672623324E-01
    0.154229,  7.7744890354E-01
    0.159204,  7.5741194034E-01
    0.164179,  7.3663492144E-01
    0.169154,  7.1513814775E-01
    0.174129,  6.9294262345E-01
    0.179104,  6.7007003545E-01
    0.184080,  6.4654273221E-01
    0.189055,  6.2238370188E-01
    0.194030,  5.9761654991E-01
    0.199005,  5.7226547588E-01
    0.203980,  5.4635524996E-01
    0.208955,  5.1991118863E-01
    0.213930,  4.9295912998E-01
    0.218905,  4.6552540846E-01
    0.223881,  4.3763682914E-01
    0.228856,  4.0932064152E-01
    0.233831,  3.8060451293E-01
    0.238806,  3.5151650145E-01
    0.243781,  3.2208502854E-01
    0.248756,  2.9233885125E-01
    0.253731,  2.6230703411E-01
    0.258706,  2.3201892076E-01
    0.263682,  2.0150410524E-01
    0.268657,  1.7079240313E-01
    0.273632,  1.3991382235E-01
    0.278607,  1.0889853391E-01
    0.283582,  7.7776842359E-02
    0.288557,  4.6579156242E-02
    0.293532,  1.5335958340E-02
    0.298507, -1.5922224094E-02
    0.303483, -4.7164849165E-02
    0.308458, -7.8361390179E-02
    0.313433, -1.0948136547E-01
    0.318408, -1.4049436818E-01
    0.323383, -1.7137009598E-01
    0.328358, -2.0207838067E-01
    0.333333, -2.3258921764E-01
    0.338308, -2.6287279522E-01
    0.343284, -2.9289952379E-01
    0.348259, -3.2264006469E-01
    0.353234, -3.5206535889E-01
    0.358209, -3.8114665537E-01
    0.363184, -4.0985553925E-01
    0.368159, -4.3816395952E-01
    0.373134, -4.6604425644E-01
    0.378109, -4.9346918860E-01
    0.383085, -5.2041195952E-01
    0.388060, -5.4684624382E-01
    0.393035, -5.7274621297E-01
    0.398010, -5.9808656050E-01
    0.402985, -6.2284252675E-01
    0.407960, -6.4698992303E-01
    0.412935, -6.7050515529E-01
    0.417910, -6.9336524716E-01
    0.422886, -7.1554786238E-01
    0.427861, -7.3703132667E-01
    0.432836, -7.5779464884E-01
    0.437811, -7.7781754139E-01
    0.442786, -7.9708044024E-01
    0.447761, -8.1556452391E-01
    0.452736, -8.3325173188E-01
    0.457711, -8.5012478225E-01
    0.462687, -8.6616718861E-01
    0.467662, -8.8136327619E-01
    0.472637, -8.9569819710E-01
    0.477612, -9.0915794492E-01
    0.482587, -9.2172936833E-01
    0.487562, -9.3340018399E-01
    0.492537, -9.4415898852E-01
    0.497512, -9.5399526965E-01
    0.502488, -9.6289941650E-01
    0.507463, -9.7086272898E-01
    0.512438, -9.7787742623E-01
    0.517413, -9.8393665432E-01
    0.522388, -9.8903449286E-01
    0.527363, -9.9316596083E-01
    0.532338, -9.9632702144E-01
    0.537313, -9.9851458606E-01
    0.542289, -9.9972651726E-01
    0.547264, -9.9996163087E-01
    0.552239, -9.9921969718E-01
    0.557214, -9.9750144111E-01
    0.562189, -9.9480854154E-01
    0.567164, -9.9114362967E-01
    0.572139, -9.8651028642E-01
    0.577114, -9.8091303897E-01
    0.582090, -9.7435735630E-01
    0.587065, -9.6684964387E-01
    0.592040, -9.5839723735E-01
    0.597015, -9.4900839546E-01
    0.601990, -9.3869229188E-01
    0.606965, -9.2745900634E-01
    0.611940, -9.1531951471E-01
    0.616915, -9.0228567829E-01
    0.621891, -8.8837023224E-01
    0.626866, -8.7358677315E-01
    0.631841, -8.5794974570E-01
    0.636816, -8.4147442860E-01
    0.641791, -8.2417691962E-01
    0.646766, -8.0607411990E-01
    0.651741, -7.8718371742E-01
    0.656716, -7.6752416969E-01
    0.661692, -7.4711468576E-01
    0.666667, -7.2597520743E-01
    0.671642, -7.0412638975E-01
    0.676617, -6.8158958089E-01
    0.681592, -6.5838680121E-01
    0.686567, -6.3454072179E-01
    0.691542, -6.1007464228E-01
    0.696517, -5.8501246811E-01
    0.701493, -5.5937868715E-01
    0.706468, -5.3319834577E-01
    0.711443, -5.0649702440E-01
    0.716418, -4.7930081249E-01
    0.721393, -4.5163628304E-01
    0.726368, -4.2353046664E-01
    0.731343, -3.9501082505E-01
    0.736318, -3.6610522440E-01
    0.741294, -3.3684190790E-01
    0.746269, -3.0724946829E-01
    0.751244, -2.7735681989E-01
    0.756219, -2.4719317036E-01
    0.761194, -2.1678799215E-01
    0.766169, -1.8617099368E-01
    0.771144, -1.5537209036E-01
    0.776119, -1.2442137534E-01
    0.781095, -9.3349090076E-02
    0.786070, -6.2185594839E-02
    0.791045, -3.0961339004E-02
    0.796020,  2.9316868583E-04
    0.800995,  3.1547389925E-02
    0.805970,  6.2770786688E-02
    0.810945,  9.3932851071E-02
    0.815920,  1.2500313509E-01
    0.820896,  1.5595128045E-01
    0.825871,  1.8674704818E-01
    0.830846,  2.1736034821E-01
    0.835821,  2.4776126875E-01
    0.840796,  2.7792010552E-01
    0.845771,  3.0780739078E-01
    0.850746,  3.3739392211E-01
    0.855721,  3.6665079098E-01
    0.860697,  3.9554941093E-01
    0.865672,  4.2406154556E-01
    0.870647,  4.5215933610E-01
    0.875622,  4.7981532863E-01
    0.880597,  5.0700250089E-01
    0.885572,  5.3369428872E-01
    0.890547,  5.5986461197E-01
    0.895522,  5.8548790002E-01
    0.900498,  6.1053911674E-01
    0.905473,  6.3499378497E-01
    0.910448,  6.5882801043E-01
    0.915423,  6.8201850505E-01
    0.920398,  7.0454260976E-01
    0.925373,  7.2637831659E-01
    0.930348,  7.4750429022E-01
    0.935323,  7.6789988876E-01
    0.940299,  7.8754518399E-01
    0.945274,  8.0642098080E-01
    0.950249,  8.2450883593E-01
    0.955224,  8.4179107600E-01
