iter,fval,alpha,step_norm,grad_norm
1,  5.1011126637E+00,  9.7656250000E-04,  2.2740985132E-01,  4.3898520923E+01
2,  3.2084235664E+00,  1.2500000000E-01,  5.5921030192E-01,  1.2664248340E+01
3,  3.1286610193E+00,  1.0000000000E+00,  6.0713187017E-02,  1.4137414652E+01
4,  2.6708701420E+00,  1.0000000000E+00,  4.6826156755E-01,  2.1941763266E+01
5,  2.2815682921E+00,  1.0000000000E+00,  1.3021548033E-01,  4.0462015108E+00
6,  1.9242272299E+00,  1.0000000000E+00,  1.7651862641E-01,  5.1845383517E+00
7,  1.8219489730E+00,  2.5000000000E-01,  1.0807702888E-01,  9.7163204425E+00
8,  1.6962947712E+00,  1.0000000000E+00,  4.8454813284E-02,  8.7576590587E+00
9,  1.2811332492E+00,  1.0000000000E+00,  1.4261581007E-01,  4.0343900466E+00
10,  1.1662988400E+00,  5.0000000000E-01,  9.7748584655E-02,  6.8753490587E+00
11,  8.6186888621E-01,  1.0000000000E+00,  1.6196173729E-01,  6.4827650498E+00
12,  7.4828360400E-01,  1.0000000000E+00,  8.7898439358E-02,  6.4361504181E+00
13,  5.2982454949E-01,  1.0000000000E+00,  1.7686306821E-01,  7.4156312084E+00
14,  4.9890210305E-01,  1.0000000000E+00,  5.7699407744E-02,  1.6725130146E+00
15,  4.1984395426E-01,  1.0000000000E+00,  6.9906311450E-02,  1.5209447619E+00
16,  3.8160078218E-01,  5.0000000000E-01,  1.2272094096E-01,  7.5545796161E+00
17,  3.2835854873E-01,  1.0000000000E+00,  1.9977387435E-02,  2.8231576342E+00
18,  2.6901342135E-01,  1.0000000000E+00,  6.3048181242E-02,  1.0141656998E+00
19,  2.0165909878E-01,  1.0000000000E+00,  2.1511359588E-01,  8.0223230631E+00
20,  1.5803687483E-01,  1.0000000000E+00,  3.8482787285E-02,  5.8425400955E-01
21,  1.1928312618E-01,  1.0000000000E+00,  8.4951500942E-02,  8.3657273149E-01
22,  8.8259051698E-02,  5.0000000000E-01,  1.5614035812E-01,  5.5629717473E+00
23,  6.0652614930E-02,  1.0000000000E+00,  2.3409652356E-02,  1.7131219257E+00
24,  3.0584852095E-02,  1.0000000000E+00,  1.4902533801E-01,  2.4989932150E+00
25,  1.4976109182E-02,  1.0000000000E+00,  9.4602569604E-02,  1.6584453271E+00
26,  5.9567531106E-03,  1.0000000000E+00,  7.9281046091E-02,  1.4779695433E-01
27,  4.9522520574E-03,  5.0000000000E-01,  8.5132123316E-02,  2.5970549961E+00
28,  1.2508736197E-03,  1.0000000000E+00,  5.6887788086E-03,  2.3875714946E-01
29,  2.6895411008E-04,  1.0000000000E+00,  4.1213057681E-02,  1.2698751367E-01
30,  2.4629706532E-05,  1.0000000000E+00,  3.0805456145E-02,  1.9691919790E-01
31,  5.5254766756E-07,  1.0000000000E+00,  3.5528979058E-03,  1.1742942403E-02
32,  8.6633143202E-10,  1.0000000000E+00,  1.5808535001E-03,  1.2217986916E-03
33,  1.8660377600E-13,  1.0000000000E+00,  2.5459037270E-05,  1.1022370713E-05
34,  2.7456484975E-17,  1.0000000000E+00,  7.8358670834E-07,  8.8346615135E-08
