x,y,u
 0.00000, 0.00000, 0.00000000E+00
 0.05000, 0.00000, 0.00000000E+00
 0.10000, 0.00000, 0.00000000E+00
 0.15000, 0.00000, 0.00000000E+00
 0.20000, 0.00000, 0.00000000E+00
 0.25000, 0.00000, 0.00000000E+00
 0.30000, 0.00000, 0.00000000E+00
 0.35000, 0.00000, 0.00000000E+00
 0.40000, 0.00000, 0.00000000E+00
 0.45000, 0.00000, 0.00000000E+00
 0.50000, 0.00000, 0.00000000E+00
 0.55000, 0.00000, 0.00000000E+00
 0.60000, 0.00000, 0.00000000E+00
 0.65000, 0.00000, 0.00000000E+00
 0.70000, 0.00000, 0.00000000E+00
 0.75000, 0.00000, 0.00000000E+00
 0.80000, 0.00000, 0.00000000E+00
 0.85000, 0.00000, 0.00000000E+00
 0.90000, 0.00000, 0.00000000E+00
 0.95000, 0.00000, 0.00000000E+00
 1.00000, 0.00000, 0.00000000E+00
 0.00000, 0.05000, 0.00000000E+00
 0.05000, 0.05000, 2.44235832E-02
 0.10000, 0.05000, 4.82457768E-02
 0.15000, 0.05000, 7.08799992E-02
 0.20000, 0.05000, 9.17689209E-02
 0.25000, 0.05000, 1.10398187E-01
 0.30000, 0.05000, 1.26309084E-01
 0.35000, 0.05000, 1.39109831E-01
 0.40000, 0.05000, 1.48485233E-01
 0.45000, 0.05000, 1.54204436E-01
 0.50000, 0.05000, 1.56126613E-01
 0.55000, 0.05000, 1.54204436E-01
 0.60000, 0.05000, 1.48485233E-01
 0.65000, 0.05000, 1.39109831E-01
 0.70000, 0.05000, 1.26309084E-01
 0.75000, 0.05000, 1.10398187E-01
 0.80000, 0.05000, 9.17689209E-02
 0.85000, 0.05000, 7.08799992E-02
 0.90000, 0.05000, 4.82457768E-02
 0.95000, 0.05000, 2.44235832E-02
 1.00000, 0.05000, 1.91576967E-17
 0.00000, 0.10000, 0.00000000E+00
 0.05000, 0.10000, 4.82457768E-02
 0.10000, 0.10000, 9.53035825E-02
 0.15000, 0.10000, 1.40014698E-01
 0.20000, 0.10000, 1.81278186E-01
 0.25000, 0.10000, 2.18078004E-01
 0.30000, 0.10000, 2.49508018E-01
 0.35000, 0.10000, 2.74794316E-01
 0.40000, 0.10000, 2.93314267E-01
 0.45000, 0.10000, 3.04611846E-01
 0.50000, 0.10000, 3.08408871E-01
 0.55000, 0.10000, 3.04611846E-01
 0.60000, 0.10000, 2.93314267E-01
 0.65000, 0.10000, 2.74794316E-01
 0.70000, 0.10000, 2.49508018E-01
 0.75000, 0.10000, 2.18078004E-01
 0.80000, 0.10000, 1.81278186E-01
 0.85000, 0.10000, 1.40014698E-01
 0.90000, 0.10000, 9.53035824E-02
 0.95000, 0.10000, 4.82457768E-02
 1.00000, 0.10000, 3.78436673E-17
 0.00000, 0.15000, 0.00000000E+00
 0.05000, 0.15000, 7.08799992E-02
 0.10000, 0.15000, 1.40014698E-01
 0.15000, 0.15000, 2.05701769E-01
 0.20000, 0.15000, 2.66323781E-01
 0.25000, 0.15000, 3.20388017E-01
 0.30000, 0.15000, 3.66563237E-01
 0.35000, 0.15000, 4.03712454E-01
 0.40000, 0.15000, 4.30920930E-01
 0.45000, 0.15000, 4.47518702E-01
 0.50000, 0.15000, 4.53097079E-01
 0.55000, 0.15000, 4.47518702E-01
 0.60000, 0.15000, 4.30920930E-01
 0.65000, 0.15000, 4.03712454E-01
 0.70000, 0.15000, 3.66563237E-01
 0.75000, 0.15000, 3.20388017E-01
 0.80000, 0.15000, 2.66323781E-01
 0.85000, 0.15000, 2.05701769E-01
 0.90000, 0.15000, 1.40014698E-01
 0.95000, 0.15000, 7.08799991E-02
 1.00000, 0.15000, 5.55978012E-17
 0.00000, 0.20000, 0.00000000E+00
 0.05000, 0.20000, 9.17689209E-02
 0.10000, 0.20000, 1.81278186E-01
 0.15000, 0.20000, 2.66323781E-01
 0.20000, 0.20000, 3.44811601E-01
