sigma,test,approx,exact,abs_err
  1.0000000000E-01,f=1,  1.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00
  1.0000000000E-01,f=x,  1.7453102184E-17,  0.0000000000E+00,  1.7453102184E-17
  1.0000000000E-01,f=x^2,  1.0000000000E-02,  0.0000000000E+00,  1.0000000000E-02
  1.0000000000E-02,f=1,  1.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00
  1.0000000000E-02,f=x,  2.0189804016E-18,  0.0000000000E+00,  2.0189804016E-18
  1.0000000000E-02,f=x^2,  1.0000000000E-04,  0.0000000000E+00,  1.0000000000E-04
  1.0000000000E-03,f=1,  1.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00
  1.0000000000E-03,f=x, -8.7678038972E-17,  0.0000000000E+00,  8.7678038972E-17
  1.0000000000E-03,f=x^2,  1.0000000000E-06,  0.0000000000E+00,  1.0000000000E-06
  1.0000000000E-04,f=1,  1.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00
  1.0000000000E-04,f=x, -5.2731553667E-21,  0.0000000000E+00,  5.2731553667E-21
  1.0000000000E-04,f=x^2,  6.2500000007E-08,  0.0000000000E+00,  6.2500000007E-08
