sigma,test,L1_error,L2_error,Linf_error
  1.0000000000E-01,f=1,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  1.0000000000E-01,f=x,  1.3861616337E-02,  2.5309157904E-02,  7.8211732158E-02
  1.0000000000E-01,f=x^2,  2.2563467855E-01,  2.4863377643E-01,  7.7231289228E-01
  1.0000000000E-02,f=1,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  1.0000000000E-02,f=x,  1.3727289587E-04,  7.9105299027E-04,  6.5116006918E-03
  1.0000000000E-02,f=x^2,  2.3582723560E-03,  7.8999012801E-03,  6.5032636843E-02
  1.0000000000E-03,f=1,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  1.0000000000E-03,f=x,  1.8633455281E-10,  1.8633197207E-09,  1.8633197207E-08
  1.0000000000E-03,f=x^2,  3.7247624485E-09,  1.8633194172E-08,  1.8623880038E-07
  1.0000000000E-04,f=1,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  1.0000000000E-04,f=x,  1.0800128153E-15,  7.7525764982E-16,  8.8817841970E-16
  1.0000000000E-04,f=x^2,  3.5350932251E-15,  2.8939747307E-15,  3.5527136788E-15
