x,y,distance
  0.0000,  0.0000,6.393053E-01
  0.0100,  0.0000,6.322407E-01
  0.0200,  0.0000,6.252465E-01
  0.0300,  0.0000,6.183247E-01
  0.0400,  0.0000,6.114775E-01
  0.0500,  0.0000,6.047071E-01
  0.0600,  0.0000,5.980158E-01
  0.0700,  0.0000,5.914061E-01
  0.0800,  0.0000,5.848804E-01
  0.0900,  0.0000,5.784412E-01
  0.1000,  0.0000,5.720911E-01
  0.1100,  0.0000,5.658328E-01
  0.1200,  0.0000,5.596689E-01
  0.1300,  0.0000,5.536024E-01
  0.1400,  0.0000,5.476360E-01
  0.1500,  0.0000,5.417727E-01
  0.1600,  0.0000,5.360155E-01
  0.1700,  0.0000,5.303675E-01
  0.1800,  0.0000,5.248319E-01
  0.1900,  0.0000,5.194117E-01
  0.2000,  0.0000,5.141104E-01
  0.2100,  0.0000,5.089312E-01
  0.2200,  0.0000,5.038774E-01
  0.2300,  0.0000,4.989526E-01
  0.2400,  0.0000,4.941603E-01
  0.2500,  0.0000,4.895039E-01
  0.2600,  0.0000,4.849871E-01
  0.2700,  0.0000,4.806135E-01
  0.2800,  0.0000,4.763869E-01
  0.2900,  0.0000,4.723111E-01
  0.3000,  0.0000,4.683898E-01
  0.3100,  0.0000,4.646271E-01
  0.3200,  0.0000,4.610269E-01
  0.3300,  0.0000,4.575935E-01
  0.3400,  0.0000,4.543310E-01
  0.3500,  0.0000,4.512440E-01
  0.3600,  0.0000,4.483371E-01
  0.3700,  0.0000,4.456152E-01
  0.3800,  0.0000,4.430836E-01
  0.3900,  0.0000,4.407477E-01
  0.4000,  0.0000,4.386136E-01
  0.4100,  0.0000,4.366878E-01
  0.4200,  0.0000,4.349774E-01
  0.4300,  0.0000,4.334902E-01
  0.4400,  0.0000,4.322353E-01
  0.4500,  0.0000,4.312237E-01
  0.4600,  0.0000,4.304701E-01
  0.4700,  0.0000,4.300000E-01
  0.4800,  0.0000,4.300000E-01
  0.4900,  0.0000,4.300000E-01
  0.5000,  0.0000,4.300000E-01
  0.5100,  0.0000,4.300000E-01
  0.5200,  0.0000,4.300000E-01
  0.5300,  0.0000,4.300000E-01
  0.5400,  0.0000,4.304701E-01
  0.5500,  0.0000,4.312237E-01
  0.5600,  0.0000,4.322353E-01
  0.5700,  0.0000,4.334902E-01
  0.5800,  0.0000,4.349774E-01
  0.5900,  0.0000,4.366878E-01
  0.6000,  0.0000,4.386136E-01
  0.6100,  0.0000,4.407477E-01
  0.6200,  0.0000,4.430836E-01
  0.6300,  0.0000,4.456152E-01
  0.6400,  0.0000,4.483371E-01
  0.6500,  0.0000,4.512440E-01
  0.6600,  0.0000,4.543310E-01
  0.6700,  0.0000,4.575935E-01
  0.6800,  0.0000,4.610269E-01
  0.6900,  0.0000,4.646271E-01
  0.7000,  0.0000,4.683898E-01
  0.7100,  0.0000,4.723111E-01
  0.7200,  0.0000,4.763869E-01
  0.7300,  0.0000,4.806135E-01
  0.7400,  0.0000,4.849870E-01
  0.7500,  0.0000,4.895038E-01
  0.7600,  0.0000,4.941601E-01
  0.7700,  0.0000,4.989524E-01
  0.7800,  0.0000,5.038771E-01
  0.7900,  0.0000,5.089307E-01
  0.8000,  0.0000,5.141098E-01
  0.8100,  0.0000,5.194110E-01
  0.8200,  0.0000,5.248310E-01
  0.8300,  0.0000,5.303664E-01
  0.8400,  0.0000,5.360141E-01
  0.8500,  0.0000,5.417710E-01
  0.8600,  0.0000,5.476339E-01
  0.8700,  0.0000,5.535998E-01
  0.8800,  0.0000,5.596659E-01
  0.8900,  0.0000,5.658291E-01
  0.9000,  0.0000,5.720868E-01
  0.9100,  0.0000,5.784362E-01
  0.9200,  0.0000,5.848746E-01
  0.9300,  0.0000,5.913994E-01
  0.9400,  0.0000,5.980080E-01
  0.9500,  0.0000,6.046981E-01
  0.9600,  0.0000,6.114672E-01
  0.9700,  0.0000,6.183131E-01
  0.9800,  0.0000,6.252333E-01
  0.9900,  0.0000,6.322259E-01
  1.0000,  0.0000,6.392886E-01
  0.0000,  0.0100,6.322277E-01
  0.0100,  0.0100,6.250937E-01
  0.0200,  0.0100,6.180293E-01
  0.0300,  0.0100,6.110367E-01
  0.0400,  0.0100,6.041180E-01
  0.0500,  0.0100,5.972755E-01
  0.0600,  0.0100,5.905117E-01
