x,y,T
-0.50000,-0.50000,  9.9040483059E-01
-0.50000,-0.49000,  9.8040483059E-01
-0.50000,-0.48000,  9.7040483059E-01
-0.50000,-0.47000,  9.6040483059E-01
-0.50000,-0.46000,  9.5040483059E-01
-0.50000,-0.45000,  9.4040483059E-01
-0.50000,-0.44000,  9.3040483059E-01
-0.50000,-0.43000,  9.2040483059E-01
-0.50000,-0.42000,  9.1040483059E-01
-0.50000,-0.41000,  9.0040483059E-01
-0.50000,-0.40000,  8.9040483059E-01
-0.50000,-0.39000,  8.8040483059E-01
-0.50000,-0.38000,  8.7040483059E-01
-0.50000,-0.37000,  8.6040483059E-01
-0.50000,-0.36000,  8.5040483059E-01
-0.50000,-0.35000,  8.4040483059E-01
-0.50000,-0.34000,  8.3040483059E-01
-0.50000,-0.33000,  8.2040483059E-01
-0.50000,-0.32000,  8.1040483059E-01
-0.50000,-0.31000,  8.0040483059E-01
-0.50000,-0.30000,  7.9040483059E-01
-0.50000,-0.29000,  7.8040483059E-01
-0.50000,-0.28000,  7.7040483059E-01
-0.50000,-0.27000,  7.6040483059E-01
-0.50000,-0.26000,  7.5040483059E-01
-0.50000,-0.25000,  7.4040483059E-01
-0.50000,-0.24000,  7.3040483059E-01
-0.50000,-0.23000,  7.2040483059E-01
-0.50000,-0.22000,  7.1040483059E-01
-0.50000,-0.21000,  7.0040483059E-01
-0.50000,-0.20000,  6.9040483059E-01
-0.50000,-0.19000,  6.8040483059E-01
-0.50000,-0.18000,  6.7040483059E-01
-0.50000,-0.17000,  6.6040483059E-01
-0.50000,-0.16000,  6.5040483059E-01
-0.50000,-0.15000,  6.4040483059E-01
-0.50000,-0.14000,  6.3040483059E-01
-0.50000,-0.13000,  6.2040483059E-01
-0.50000,-0.12000,  6.1040483059E-01
-0.50000,-0.11000,  6.0040483059E-01
-0.50000,-0.10000,  5.9040483059E-01
-0.50000,-0.09000,  5.8040483059E-01
-0.50000,-0.08000,  5.7040483059E-01
-0.50000,-0.07000,  5.6040483059E-01
-0.50000,-0.06000,  5.5040483059E-01
-0.50000,-0.05000,  5.4040483059E-01
-0.50000,-0.04000,  5.3040483059E-01
-0.50000,-0.03000,  5.2040483059E-01
-0.50000,-0.02000,  5.1040483059E-01
-0.50000,-0.01000,  5.0040483059E-01
-0.50000, 0.00000,  5.0000000000E-01
-0.50000, 0.01000,  5.0040483059E-01
-0.50000, 0.02000,  5.1040483059E-01
-0.50000, 0.03000,  5.2040483059E-01
-0.50000, 0.04000,  5.3040483059E-01
-0.50000, 0.05000,  5.4040483059E-01
-0.50000, 0.06000,  5.5040483059E-01
-0.50000, 0.07000,  5.6040483059E-01
-0.50000, 0.08000,  5.7040483059E-01
-0.50000, 0.09000,  5.8040483059E-01
-0.50000, 0.10000,  5.9040483059E-01
-0.50000, 0.11000,  6.0040483059E-01
-0.50000, 0.12000,  6.1040483059E-01
-0.50000, 0.13000,  6.2040483059E-01
-0.50000, 0.14000,  6.3040483059E-01
-0.50000, 0.15000,  6.4040483059E-01
-0.50000, 0.16000,  6.5040483059E-01
-0.50000, 0.17000,  6.6040483059E-01
-0.50000, 0.18000,  6.7040483059E-01
-0.50000, 0.19000,  6.8040483059E-01
-0.50000, 0.20000,  6.9040483059E-01
-0.50000, 0.21000,  7.0040483059E-01
-0.50000, 0.22000,  7.1040483059E-01
-0.50000, 0.23000,  7.2040483059E-01
-0.50000, 0.24000,  7.3040483059E-01
-0.50000, 0.25000,  7.4040483059E-01
-0.50000, 0.26000,  7.5040483059E-01
-0.50000, 0.27000,  7.6040483059E-01
-0.50000, 0.28000,  7.7040483059E-01
-0.50000, 0.29000,  7.8040483059E-01
-0.50000, 0.30000,  7.9040483059E-01
-0.50000, 0.31000,  8.0040483059E-01
-0.50000, 0.32000,  8.1040483059E-01
-0.50000, 0.33000,  8.2040483059E-01
-0.50000, 0.34000,  8.3040483059E-01
-0.50000, 0.35000,  8.4040483059E-01
-0.50000, 0.36000,  8.5040483059E-01
-0.50000, 0.37000,  8.6040483059E-01
-0.50000, 0.38000,  8.7040483059E-01
-0.50000, 0.39000,  8.8040483059E-01
-0.50000, 0.40000,  8.9040483059E-01
-0.50000, 0.41000,  9.0040483059E-01
-0.50000, 0.42000,  9.1040483059E-01
-0.50000, 0.43000,  9.2040483059E-01
-0.50000, 0.44000,  9.3040483059E-01
-0.50000, 0.45000,  9.4040483059E-01
