x,y,T
-0.50000,-0.50000,  7.1209233331E-01
-0.50000,-0.49000,  7.0548401724E-01
-0.50000,-0.48000,  6.9892075723E-01
-0.50000,-0.47000,  6.9240530366E-01
-0.50000,-0.46000,  6.8594045059E-01
-0.50000,-0.45000,  6.7952903334E-01
-0.50000,-0.44000,  6.7317392658E-01
-0.50000,-0.43000,  6.6687804306E-01
-0.50000,-0.42000,  6.6064433276E-01
-0.50000,-0.41000,  6.5447578253E-01
-0.50000,-0.40000,  6.4837541610E-01
-0.50000,-0.39000,  6.4234629443E-01
-0.50000,-0.38000,  6.3639151626E-01
-0.50000,-0.37000,  6.3051421898E-01
-0.50000,-0.36000,  6.2471757951E-01
-0.50000,-0.35000,  6.1900481533E-01
-0.50000,-0.34000,  6.1337918553E-01
-0.50000,-0.33000,  6.0784399176E-01
-0.50000,-0.32000,  6.0240257923E-01
-0.50000,-0.31000,  5.9705833744E-01
-0.50000,-0.30000,  5.9181470085E-01
-0.50000,-0.29000,  5.8667514924E-01
-0.50000,-0.28000,  5.8164320793E-01
-0.50000,-0.27000,  5.7672244765E-01
-0.50000,-0.26000,  5.7191648408E-01
-0.50000,-0.25000,  5.6722897716E-01
-0.50000,-0.24000,  5.6266362992E-01
-0.50000,-0.23000,  5.5822418703E-01
-0.50000,-0.22000,  5.5391443294E-01
-0.50000,-0.21000,  5.4973818965E-01
-0.50000,-0.20000,  5.4569931410E-01
-0.50000,-0.19000,  5.4180169529E-01
-0.50000,-0.18000,  5.3804925104E-01
-0.50000,-0.17000,  5.3444592463E-01
-0.50000,-0.16000,  5.3099568128E-01
-0.50000,-0.15000,  5.2770250479E-01
-0.50000,-0.14000,  5.2457039444E-01
-0.50000,-0.13000,  5.2160336266E-01
-0.50000,-0.12000,  5.1880543390E-01
-0.50000,-0.11000,  5.1618064542E-01
-0.50000,-0.10000,  5.1373305138E-01
-0.50000,-0.09000,  5.1146673182E-01
-0.50000,-0.08000,  5.0938580965E-01
-0.50000,-0.07000,  5.0749448042E-01
-0.50000,-0.06000,  5.0579706374E-01
-0.50000,-0.05000,  5.0429809260E-01
-0.50000,-0.04000,  5.0300247419E-01
-0.50000,-0.03000,  5.0191579866E-01
-0.50000,-0.02000,  5.0104499847E-01
-0.50000,-0.01000,  5.0040003362E-01
-0.50000, 0.00000,  5.0000000000E-01
-0.50000, 0.01000,  5.0040003362E-01
-0.50000, 0.02000,  5.0104499847E-01
-0.50000, 0.03000,  5.0191579866E-01
-0.50000, 0.04000,  5.0300247419E-01
-0.50000, 0.05000,  5.0429809260E-01
-0.50000, 0.06000,  5.0579706374E-01
-0.50000, 0.07000,  5.0749448042E-01
-0.50000, 0.08000,  5.0938580965E-01
-0.50000, 0.09000,  5.1146673182E-01
-0.50000, 0.10000,  5.1373305138E-01
-0.50000, 0.11000,  5.1618064542E-01
-0.50000, 0.12000,  5.1880543390E-01
-0.50000, 0.13000,  5.2160336266E-01
-0.50000, 0.14000,  5.2457039444E-01
-0.50000, 0.15000,  5.2770250479E-01
-0.50000, 0.16000,  5.3099568128E-01
-0.50000, 0.17000,  5.3444592463E-01
-0.50000, 0.18000,  5.3804925104E-01
-0.50000, 0.19000,  5.4180169529E-01
-0.50000, 0.20000,  5.4569931410E-01
-0.50000, 0.21000,  5.4973818965E-01
-0.50000, 0.22000,  5.5391443294E-01
-0.50000, 0.23000,  5.5822418703E-01
-0.50000, 0.24000,  5.6266362992E-01
-0.50000, 0.25000,  5.6722897716E-01
-0.50000, 0.26000,  5.7191648408E-01
-0.50000, 0.27000,  5.7672244765E-01
-0.50000, 0.28000,  5.8164320793E-01
-0.50000, 0.29000,  5.8667514924E-01
-0.50000, 0.30000,  5.9181470085E-01
-0.50000, 0.31000,  5.9705833744E-01
-0.50000, 0.32000,  6.0240257923E-01
-0.50000, 0.33000,  6.0784399176E-01
-0.50000, 0.34000,  6.1337918553E-01
-0.50000, 0.35000,  6.1900481533E-01
-0.50000, 0.36000,  6.2471757951E-01
-0.50000, 0.37000,  6.3051421898E-01
-0.50000, 0.38000,  6.3639151626E-01
-0.50000, 0.39000,  6.4234629443E-01
-0.50000, 0.40000,  6.4837541610E-01
-0.50000, 0.41000,  6.5447578253E-01
-0.50000, 0.42000,  6.6064433276E-01
-0.50000, 0.43000,  6.6687804306E-01
-0.50000, 0.44000,  6.7317392658E-01
-0.50000, 0.45000,  6.7952903334E-01
-0.50000, 0.46000,  6.8594045059E-01
-0.50000, 0.47000,  6.9240530366E-01
-0.50000, 0.48000,  6.9892075723E-01
-0.50000, 0.49000,  7.0548401724E-01
-0.50000, 0.50000,  7.1209233331E-01
-0.49000,-0.50000,  7.0458699130E-01
-0.49000,-0.49000,  6.9793924302E-01
-0.49000,-0.48000,  6.9133466042E-01
-0.49000,-0.47000,  6.8477603929E-01
-0.49000,-0.46000,  6.7826622563E-01
-0.49000,-0.45000,  6.7180811253E-01
-0.49000,-0.44000,  6.6540463763E-01
-0.49000,-0.43000,  6.5905878120E-01
-0.49000,-0.42000,  6.5277356481E-01
-0.49000,-0.41000,  6.4655205049E-01
-0.49000,-0.40000,  6.4039734041E-01
-0.49000,-0.39000,  6.3431257692E-01
-0.49000,-0.38000,  6.2830094294E-01
-0.49000,-0.37000,  6.2236566262E-01
-0.49000,-0.36000,  6.1651000219E-01
-0.49000,-0.35000,  6.1073727100E-01
-0.49000,-0.34000,  6.0505082254E-01
-0.49000,-0.33000,  5.9945405554E-01
-0.49000,-0.32000,  5.9395041503E-01
-0.49000,-0.31000,  5.8854339321E-01
-0.49000,-0.30000,  5.8323653034E-01
-0.49000,-0.29000,  5.7803341523E-01
-0.49000,-0.28000,  5.7293768565E-01
-0.49000,-0.27000,  5.6795302838E-01
-0.49000,-0.26000,  5.6308317899E-01
-0.49000,-0.25000,  5.5833192121E-01
-0.49000,-0.24000,  5.5370308603E-01
-0.49000,-0.23000,  5.4920055031E-01
-0.49000,-0.22000,  5.4482823506E-01
-0.49000,-0.21000,  5.4059010328E-01
-0.49000,-0.20000,  5.3649015738E-01
-0.49000,-0.19000,  5.3253243630E-01
-0.49000,-0.18000,  5.2872101226E-01
-0.49000,-0.17000,  5.2505998723E-01
-0.49000,-0.16000,  5.2155348935E-01
-0.49000,-0.15000,  5.1820566927E-01
-0.49000,-0.14000,  5.1502069693E-01
-0.49000,-0.13000,  5.1200275880E-01
-0.49000,-0.12000,  5.0915605643E-01
-0.49000,-0.11000,  5.0648480696E-01
-0.49000,-0.10000,  5.0399324668E-01
-0.49000,-0.09000,  5.0168563971E-01
-0.49000,-0.08000,  4.9956629470E-01
-0.49000,-0.07000,  4.9763959449E-01
-0.49000,-0.06000,  4.9591004773E-01
-0.49000,-0.05000,  4.9438237917E-01
-0.49000,-0.04000,  4.9306169272E-01
-0.49000,-0.03000,  4.9195378546E-01
-0.49000,-0.02000,  4.9106581913E-01
-0.49000,-0.01000,  4.9040803817E-01
-0.49000, 0.00000,  4.9000000000E-01
-0.49000, 0.01000,  4.9040803817E-01
-0.49000, 0.02000,  4.9106581913E-01
-0.49000, 0.03000,  4.9195378546E-01
-0.49000, 0.04000,  4.9306169272E-01
-0.49000, 0.05000,  4.9438237917E-01
-0.49000, 0.06000,  4.9591004773E-01
-0.49000, 0.07000,  4.9763959449E-01
-0.49000, 0.08000,  4.9956629470E-01
-0.49000, 0.09000,  5.0168563971E-01
-0.49000, 0.10000,  5.0399324668E-01
-0.49000, 0.11000,  5.0648480696E-01
-0.49000, 0.12000,  5.0915605643E-01
-0.49000, 0.13000,  5.1200275880E-01
-0.49000, 0.14000,  5.1502069693E-01
-0.49000, 0.15000,  5.1820566927E-01
-0.49000, 0.16000,  5.2155348935E-01
-0.49000, 0.17000,  5.2505998723E-01
-0.49000, 0.18000,  5.2872101226E-01
-0.49000, 0.19000,  5.3253243630E-01
-0.49000, 0.20000,  5.3649015738E-01
-0.49000, 0.21000,  5.4059010328E-01
-0.49000, 0.22000,  5.4482823506E-01
-0.49000, 0.23000,  5.4920055031E-01
-0.49000, 0.24000,  5.5370308603E-01
-0.49000, 0.25000,  5.5833192121E-01
-0.49000, 0.26000,  5.6308317899E-01
-0.49000, 0.27000,  5.6795302838E-01
-0.49000, 0.28000,  5.7293768565E-01
-0.49000, 0.29000,  5.7803341523E-01
-0.49000, 0.30000,  5.8323653034E-01
-0.49000, 0.31000,  5.8854339321E-01
-0.49000, 0.32000,  5.9395041503E-01
-0.49000, 0.33000,  5.9945405554E-01
-0.49000, 0.34000,  6.0505082254E-01
-0.49000, 0.35000,  6.1073727100E-01
-0.49000, 0.36000,  6.1651000219E-01
-0.49000, 0.37000,  6.2236566262E-01
-0.49000, 0.38000,  6.2830094294E-01
-0.49000, 0.39000,  6.3431257692E-01
-0.49000, 0.40000,  6.4039734041E-01
-0.49000, 0.41000,  6.4655205049E-01
-0.49000, 0.42000,  6.5277356481E-01
-0.49000, 0.43000,  6.5905878120E-01
-0.49000, 0.44000,  6.6540463763E-01
-0.49000, 0.45000,  6.7180811253E-01
-0.49000, 0.46000,  6.7826622563E-01
-0.49000, 0.47000,  6.8477603929E-01
-0.49000, 0.48000,  6.9133466042E-01
-0.49000, 0.49000,  6.9793924302E-01
-0.49000, 0.50000,  7.0458699130E-01
-0.48000,-0.50000,  6.9711655337E-01
-0.48000,-0.49000,  6.9043061540E-01
-0.48000,-0.48000,  6.8378585331E-01
-0.48000,-0.47000,  6.7718510218E-01
-0.48000,-0.46000,  6.7063125508E-01
-0.48000,-0.45000,  6.6412725912E-01
-0.48000,-0.44000,  6.5767611215E-01
-0.48000,-0.43000,  6.5128086022E-01
-0.48000,-0.42000,  6.4494459556E-01
-0.48000,-0.41000,  6.3867045523E-01
-0.48000,-0.40000,  6.3246162032E-01
-0.48000,-0.39000,  6.2632131564E-01
-0.48000,-0.38000,  6.2025280977E-01
-0.48000,-0.37000,  6.1425941558E-01
-0.48000,-0.36000,  6.0834449090E-01
-0.48000,-0.35000,  6.0251143950E-01
-0.48000,-0.34000,  5.9676371212E-01
-0.48000,-0.33000,  5.9110480761E-01
-0.48000,-0.32000,  5.8553827409E-01
-0.48000,-0.31000,  5.8006770997E-01
-0.48000,-0.30000,  5.7469676494E-01
-0.48000,-0.29000,  5.6942914071E-01
-0.48000,-0.28000,  5.6426859159E-01
-0.48000,-0.27000,  5.5921892472E-01
-0.48000,-0.26000,  5.5428400008E-01
-0.48000,-0.25000,  5.4946773005E-01
-0.48000,-0.24000,  5.4477407868E-01
-0.48000,-0.23000,  5.4020706048E-01
-0.48000,-0.22000,  5.3577073878E-01
-0.48000,-0.21000,  5.3146922373E-01
-0.48000,-0.20000,  5.2730666981E-01
-0.48000,-0.19000,  5.2328727288E-01
-0.48000,-0.18000,  5.1941526695E-01
-0.48000,-0.17000,  5.1569492063E-01
-0.48000,-0.16000,  5.1213053329E-01
-0.48000,-0.15000,  5.0872643138E-01
-0.48000,-0.14000,  5.0548696474E-01
-0.48000,-0.13000,  5.0241650376E-01
-0.48000,-0.12000,  4.9951943741E-01
-0.48000,-0.11000,  4.9680017339E-01
-0.48000,-0.10000,  4.9426314133E-01
-0.48000,-0.09000,  4.9191280099E-01
-0.48000,-0.08000,  4.8975365865E-01
-0.48000,-0.07000,  4.8779029665E-01
