x,y,u_numeric,u_exact,abs_error
  0.0000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.1000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.1250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.1500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.1750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.2000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.2250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.2500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.2750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.3000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.3250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.3500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.3750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.4000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.4250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.4500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.4750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.5000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.5250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.5500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.5750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.6000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.6250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.6500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.6750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.7000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.7250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.7500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.7750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.8000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.8250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.8500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.8750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.9000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.9250,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.9500,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.9750,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  1.0000,  0.0000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0000,  0.0250,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.0250, -6.1589751392E-03,  6.1558297024E-03,  1.2314804842E-02
  0.0500,  0.0250, -1.2279978149E-02,  1.2273706668E-02,  2.4553684816E-02
  0.0750,  0.0250, -1.8325271009E-02,  1.8315912150E-02,  3.6641183159E-02
  0.1000,  0.0250, -2.4257582480E-02,  2.4245193943E-02,  4.8502776423E-02
  0.1250,  0.0250, -3.0040337889E-02,  3.0024996053E-02,  6.0065333942E-02
  0.1500,  0.0250, -3.5637884625E-02,  3.5619684079E-02,  7.1257568704E-02
  0.1750,  0.0250, -4.1015711952E-02,  4.0994764907E-02,  8.2010476858E-02
  0.2000,  0.0250, -4.6140663775E-02,  4.6117099377E-02,  9.2257763152E-02
  0.2250,  0.0250, -5.0981143063E-02,  5.0955106594E-02,  1.0193624966E-01
  0.2500,  0.0250, -5.5507306650E-02,  5.5478958635E-02,  1.1098626529E-01
  0.2750,  0.0250, -5.9691249235E-02,  5.9660764447E-02,  1.1935201368E-01
