i,orig,noisy,denoised
1,  1.4249764382E-03, -3.8774997557E-02,  2.8052087291E-01
2,  1.9291971154E-01,  1.3736561025E-01,  2.8052087291E-01
3,  3.5529943917E-01,  5.0670931788E-01,  2.8052087291E-01
4,  4.6387022039E-01,  3.8112086150E-01,  2.8052087291E-01
5,  5.0213262855E-01,  5.1885020447E-01,  2.8052087291E-01
6,  4.6429385870E-01,  5.9400509829E-01,  2.8052087291E-01
7,  3.5614986695E-01,  3.5648881816E-01,  2.8052087291E-01
8,  1.9420324284E-01,  2.4262235100E-02,  2.8052087291E-01
9,  3.1511115984E-03,  1.2415071929E-01, -2.3227628026E-02
10, -1.8787448870E-01, -2.2310466510E-01, -2.3227628026E-02
11, -3.4974138566E-01, -2.3144908781E-01, -2.3227628026E-02
12, -4.5775205109E-01, -4.7482240785E-01, -2.3227628026E-02
13, -4.9540322358E-01, -4.6978023952E-01, -2.3227628026E-02
14, -4.5689800600E-01, -5.6367493089E-01, -2.3227628026E-02
15, -3.4802799260E-01, -5.1583724888E-01, -2.3227628026E-02
16, -1.8529112926E-01, -2.5961775434E-01, -2.3227628026E-02
17,  6.6203966097E-03,  7.1560832170E-02,  1.9874200229E-01
18,  1.9857979112E-01,  2.3980176301E-01,  1.9874200229E-01
19,  3.6146044464E-01,  4.1410823070E-01,  1.9874200229E-01
20,  4.7057072229E-01,  3.6650088872E-01,  1.9874200229E-01
21,  5.0941359837E-01,  3.5790331614E-01,  1.9874200229E-01
22,  4.7219876533E-01,  3.2284043536E-01,  1.9874200229E-01
23,  3.6472477203E-01,  3.2079069956E-01,  1.9874200229E-01
24,  2.0349689451E-01,  6.3226553277E-02,  1.9874200229E-01
25,  1.3215036089E-02,  3.3064591219E-02,  5.8551242590E-02
26, -1.7698589842E-01, -9.6026139794E-02,  5.8551242590E-02
27, -3.3797078480E-01, -1.4328457106E-01,  5.8551242590E-02
28, -4.4503906224E-01, -4.8651368380E-01,  5.8551242590E-02
29, -4.8168436111E-01, -3.7777130871E-01,  5.8551242590E-02
30, -4.4210660636E-01, -2.4565139610E-01,  5.8551242590E-02
31, -3.3209415151E-01, -1.9918968195E-01,  5.8551242590E-02
32, -1.6814164658E-01, -1.1359592419E-01,  5.8551242590E-02
33,  2.5062063263E-02, -6.2785427228E-02,  2.4022021508E-01
34,  2.1839356305E-01,  4.3464644438E-02,  2.4022021508E-01
35,  3.8272964809E-01,  5.7100223616E-01,  2.4022021508E-01
36,  4.9338210269E-01,  5.6099530119E-01,  2.4022021508E-01
37,  5.3385732186E-01,  6.1138381883E-01,  2.4022021508E-01
38,  4.9836840627E-01,  6.3357258996E-01,  2.4022021508E-01
39,  3.9271728569E-01,  2.7601821895E-01,  2.4022021508E-01
40,  2.3341257364E-01,  2.3688675001E-01,  2.4022021508E-01
41,  4.5157450325E-02,  3.1978440845E-02,  1.7073029801E-02
42, -1.4290998126E-01,  4.0674234957E-02,  1.7073029801E-02
43, -3.0165149679E-01, -1.9848591549E-01,  1.7073029801E-02
44, -4.0636355364E-01, -3.5918274533E-01,  1.7073029801E-02
45, -4.4053694003E-01, -3.2686583336E-01,  1.7073029801E-02
46, -3.9836890055E-01, -2.3018215480E-01,  1.7073029801E-02
47, -2.8564529341E-01, -2.8345433396E-01,  1.7073029801E-02
48, -1.1885848225E-01, -2.5329579852E-01,  1.7073029801E-02
49,  7.7304740443E-02,  2.5730697188E-01,  2.6283991565E-01
50,  2.7372275335E-01,  2.4842917815E-01,  2.6283991565E-01
51,  4.4127386037E-01,  4.9914087177E-01,  2.6283991565E-01
52,  5.5527104296E-01,  5.0825452738E-01,  2.6283991565E-01
53,  5.9922155500E-01,  7.7036712580E-01,  2.6283991565E-01
54,  5.6733899082E-01,  7.5677555816E-01,  2.6283991565E-01
55,  4.6542538146E-01,  4.7061408230E-01,  2.6283991565E-01
56,  3.0998902240E-01,  1.4474248102E-01,  2.6283991565E-01
57,  1.2573232959E-01, -3.9966195855E-02, -5.5466707676E-03
58, -5.8207830788E-02, -2.0939067662E-02, -5.5466707676E-03
59, -2.1269496967E-01, -8.6113818535E-02, -5.5466707676E-03
60, -3.1302780325E-01, -2.6811110671E-01, -5.5466707676E-03
61, -3.4269992624E-01, -1.6316573491E-01, -5.5466707676E-03
62, -2.9591196048E-01, -3.2288395727E-01, -5.5466707676E-03
63, -1.7845373384E-01, -3.3129678319E-01, -5.5466707676E-03
64, -6.8221921896E-03,  7.6840013540E-02, -5.5466707676E-03
65,  1.9429065879E-01,  8.1515361049E-02,  5.6582039216E-01
66,  3.9575733716E-01,  4.3298861014E-01,  5.6582039216E-01
67,  5.6844962458E-01,  7.2680599893E-01,  5.6582039216E-01
68,  6.8767330667E-01,  8.7628881113E-01,  5.6582039216E-01
69,  7.3692775868E-01,  7.8652232410E-01,  5.6582039216E-01
70,  7.1041800692E-01,  5.5310429065E-01,  5.6582039216E-01
71,  6.1393682152E-01,  6.7166219441E-01,  5.6582039216E-01
72,  4.6398254374E-01,  5.5771804500E-01,  5.6582039216E-01
73,  2.8524694506E-01,  2.2910776254E-01,  2.7823063351E-01
74,  1.0685556325E-01, -8.6845795098E-03,  2.7823063351E-01
75, -4.2067114746E-02, -1.3782311972E-01,  2.7823063351E-01
76, -1.3683246714E-01, -1.7115312743E-01,  2.7823063351E-01
77, -1.6094739275E-01,  1.5693398950E-02,  2.7823063351E-01
78, -1.0862643790E-01, -2.6585048607E-01,  2.7823063351E-01
79,  1.4326050578E-02, -9.3475907886E-02,  2.7823063351E-01
80,  1.9139804327E-01,  1.5389886966E-01,  2.7823063351E-01
81,  3.9788192045E-01,  4.9142130858E-01,  5.6981166730E-01
82,  6.0463409395E-01,  7.6405965413E-01,  5.6981166730E-01
83,  7.8250978927E-01,  6.9875207337E-01,  5.6981166730E-01
84,  9.0679783248E-01,  1.0359059103E+00,  5.6981166730E-01
85,  9.6098028621E-01,  9.3398895123E-01,  5.6981166730E-01
86,  9.3924456552E-01,  8.4780925515E-01,  5.6981166730E-01
87,  8.4736558863E-01,  1.0220815210E+00,  5.6981166730E-01
88,  7.0182366592E-01,  8.0837319889E-01,  5.6981166730E-01
89,  5.2729242404E-01,  4.2904991914E-01,  3.3942523404E-01
90,  3.5287921014E-01,  2.1823264663E-01,  3.3942523404E-01
91,  2.0769034585E-01,  3.1747489202E-01,  3.3942523404E-01
92,  1.1639638662E-01,  2.2867001989E-01,  3.3942523404E-01
93,  9.5472542239E-02, -6.6807230405E-02,  3.3942523404E-01
94,  1.5068662793E-01,  1.8489265460E-01,  3.3942523404E-01
95,  2.7621699081E-01,  2.8959273090E-01,  3.3942523404E-01
