i,orig,coef
1,  1.4249764382E-03,  5.5372874194E+00
2,  1.9291971154E-01, -6.2410938973E-02
3,  3.5529943917E-01, -3.3401221549E+00
4,  4.6387022039E-01,  3.3942903932E+00
5,  5.0213262855E-01, -3.0843654220E-01
6,  4.6429385870E-01, -1.8882122093E+00
7,  3.5614986695E-01,  1.8715196008E+00
8,  1.9420324284E-01,  3.2663548079E-01
9,  3.1511115984E-03, -2.8956222570E-02
10, -1.8787448870E-01, -2.2604709908E-01
11, -3.4974138566E-01, -6.7221419596E-01
12, -4.5775205109E-01, -5.1112054787E-01
13, -4.9540322358E-01,  4.8612060009E-01
14, -4.5689800600E-01,  6.8325258911E-01
15, -3.4802799260E-01,  2.3749219529E-01
16, -1.8529112926E-01,  3.1297850248E-02
17,  6.6203966097E-03,  1.2520327775E+00
18,  1.9857979112E-01,  1.2394682150E+00
19,  3.6146044464E-01,  1.2067750405E+00
20,  4.7057072229E-01,  1.1429083584E+00
21,  5.0941359837E-01,  1.0555207171E+00
22,  4.7219876533E-01,  9.8976712656E-01
23,  3.6472477203E-01,  1.0127859490E+00
24,  2.0349689451E-01,  1.1524399067E+00
25,  1.3215036089E-02,  1.3495344915E+00
26, -1.7698589842E-01,  1.4954219146E+00
27, -3.3797078480E-01,  1.5257058284E+00
28, -4.4503906224E-01,  1.4635687012E+00
29, -4.8168436111E-01,  1.3757940727E+00
30, -4.4210660636E-01,  1.3099076813E+00
31, -3.3209415151E-01,  1.2755146280E+00
32, -1.6814164658E-01,  1.2620727561E+00
33,  2.5062063263E-02, -1.7793113533E-01
34,  2.1839356305E-01,  1.7444449365E-01
35,  3.8272964809E-01, -1.8123241398E-01
36,  4.9338210269E-01,  1.6873196131E-01
37,  5.3385732186E-01, -1.9049039859E-01
38,  4.9836840627E-01,  1.5472982529E-01
39,  3.9271728569E-01, -2.1015303783E-01
40,  2.3341257364E-01,  1.2929077629E-01
41,  4.5157450325E-02, -2.4009605824E-01
42, -1.4290998126E-01,  9.7952908455E-02
43, -3.0165149679E-01, -2.6784867939E-01
44, -4.0636355364E-01,  8.0025925050E-02
45, -4.4053694003E-01, -2.6974891632E-01
46, -3.9836890055E-01,  9.8574490300E-02
47, -2.8564529341E-01, -2.2976035637E-01
48, -1.1885848225E-01,  1.5663846485E-01
49,  7.7304740443E-02, -1.6106352889E-01
50,  2.7372275335E-01,  2.2599089311E-01
51,  4.4127386037E-01, -1.0119195680E-01
52,  5.5527104296E-01,  2.6851467116E-01
53,  5.9922155500E-01, -7.9932904128E-02
54,  5.6733899082E-01,  2.6898491941E-01
55,  4.6542538146E-01, -9.6176779611E-02
56,  3.0998902240E-01,  2.4210497918E-01
57,  1.2573232959E-01, -1.2737351252E-01
58, -5.8207830788E-02,  2.1177724798E-01
59, -2.1269496967E-01, -1.5347963547E-01
60, -3.1302780325E-01,  1.9137600382E-01
61, -3.4269992624E-01, -1.6815007552E-01
62, -2.9591196048E-01,  1.8158887922E-01
63, -1.7845373384E-01, -1.7424015557E-01
64, -6.8221921896E-03,  1.7804103066E-01
65,  1.9429065879E-01, -3.1241248579E-01
66,  3.9575733716E-01,  2.0803668873E-01
67,  5.6844962458E-01,  3.1138502983E-01
68,  6.8767330667E-01, -2.0949105386E-01
69,  7.3692775868E-01, -3.1341548960E-01
70,  7.1041800692E-01,  2.0669534858E-01
71,  6.1393682152E-01,  3.0961949235E-01
72,  4.6398254374E-01, -2.1177758469E-01
73,  2.8524694506E-01, -3.1632806223E-01
74,  1.0685556325E-01,  2.0304793440E-01
75, -4.2067114746E-02,  3.0513125975E-01
76, -1.3683246714E-01, -2.1720103246E-01
77, -1.6094739275E-01, -3.2275870477E-01
78, -1.0862643790E-01,  1.9557307098E-01
79,  1.4326050578E-02,  2.9662363587E-01
80,  1.9139804327E-01, -2.2666798034E-01
81,  3.9788192045E-01, -3.3303746765E-01
82,  6.0463409395E-01,  1.8471320017E-01
83,  7.8250978927E-01,  2.8550104509E-01
84,  9.0679783248E-01, -2.3764896224E-01
85,  9.6098028621E-01, -3.4339580367E-01
86,  9.3924456552E-01,  1.7551779859E-01
87,  8.4736558863E-01,  2.7804245086E-01
88,  7.0182366592E-01, -2.4279626461E-01
89,  5.2729242404E-01, -3.4569514402E-01
90,  3.5287921014E-01,  1.7652413508E-01
91,  2.0769034585E-01,  2.8269280245E-01
92,  1.1639638662E-01, -2.3431881614E-01
93,  9.5472542239E-02, -3.3339030530E-01
94,  1.5068662793E-01,  1.9245802807E-01
95,  2.7621699081E-01,  3.0185707780E-01
96,  4.5553470858E-01, -2.1250955509E-01
97,  6.6391576334E-01, -3.0967955611E-01
98,  8.7220074527E-01,  2.1721045714E-01
99,  1.0512297167E+00,  3.2672677511E-01
100,  1.1762770800E+00, -1.8845431204E-01
101,  1.2308112942E+00, -2.8731987276E-01
102,  1.2090070694E+00,  2.3709763508E-01
103,  1.1166275942E+00,  3.4351328481E-01
104,  9.7014249925E-01, -1.7521570334E-01
105,  7.9421585262E-01, -2.7787801408E-01
106,  6.1794663199E-01,  2.4269434591E-01
107,  4.7043404274E-01,  3.4540440858E-01
108,  3.7634283697E-01, -1.7672754175E-01
109,  3.5214378897E-01, -2.8236126515E-01
110,  4.0360169597E-01,  2.3576050529E-01
111,  5.2489334876E-01,  3.3658877085E-01
112,  6.9948976845E-01, -1.8684760767E-01
113,  9.0266841208E-01, -2.9323436021E-01
114,  1.1052729015E+00,  2.2463219496E-01
115,  1.2781479054E+00,  3.2562993052E-01
116,  1.3965740188E+00, -1.9729666736E-01
117,  1.4440274829E+00, -3.0292121459E-01
118,  1.4146923761E+00,  2.1587515167E-01
119,  1.3143428297E+00,  3.1789360666E-01
120,  1.1594609731E+00, -2.0398655277E-01
121,  9.7472490160E-01, -3.0859085339E-01
