t,path0_X,mean_num,var_num,analytic_mean,analytic_var,rel_err_mean
  0.0000,  1.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0020,  9.9314402164E-01,  9.9973373536E-01,  7.7015215133E-05,  1.0002000200E+00,  8.0035207767E-05,  4.6619138879E-04
  0.0040,  9.9906937132E-01,  1.0000191271E+00,  1.6700645476E-04,  1.0004000800E+00,  1.6014086214E-04,  3.8080057361E-04
  0.0060,  9.9889864906E-01,  1.0006715143E+00,  2.6795457934E-04,  1.0006001800E+00,  2.4031700976E-04,  7.1291502269E-05
  0.0080,  9.9677022449E-01,  1.0010324660E+00,  3.6336764943E-04,  1.0008003201E+00,  3.2056369727E-04,  2.3196025365E-04
  0.0100,  1.0040580540E+00,  1.0012926904E+00,  4.2617553527E-04,  1.0010005002E+00,  4.0088097138E-04,  2.9189815773E-04
  0.0120,  1.0003908005E+00,  1.0017876716E+00,  5.1307057085E-04,  1.0012007203E+00,  4.8126887880E-04,  5.8624736733E-04
  0.0140,  9.9660058034E-01,  1.0023736386E+00,  6.0118265064E-04,  1.0014009805E+00,  5.6172746626E-04,  9.7129738484E-04
  0.0160,  9.9782675997E-01,  1.0026403571E+00,  7.2154257022E-04,  1.0016012807E+00,  6.4225678055E-04,  1.0374152521E-03
  0.0180,  9.8730925881E-01,  1.0030006297E+00,  8.0845800806E-04,  1.0018016210E+00,  7.2285686845E-04,  1.1968524261E-03
  0.0200,  9.9416370865E-01,  1.0035461640E+00,  8.8110839070E-04,  1.0020020013E+00,  8.0352777680E-04,  1.5410774637E-03
  0.0220,  9.8591703972E-01,  1.0043968952E+00,  9.3411805391E-04,  1.0022024218E+00,  8.8426955245E-04,  2.1896509015E-03
  0.0240,  9.8974039490E-01,  1.0039629653E+00,  1.0202127491E-03,  1.0024028823E+00,  9.6508224227E-04,  1.5563432921E-03
  0.0260,  9.9932307412E-01,  1.0039469390E+00,  1.0954206394E-03,  1.0026033829E+00,  1.0459658932E-03,  1.3400674014E-03
