xc,omega,STFT_mag
   -4.990215, -5.0000000000E-01,  2.7634212867E-06
   -4.990215, -4.8437500000E-01,  2.7654803246E-06
   -4.990215, -4.6875000000E-01,  2.7674777956E-06
   -4.990215, -4.5312500000E-01,  2.7694133418E-06
   -4.990215, -4.3750000000E-01,  2.7712866152E-06
   -4.990215, -4.2187500000E-01,  2.7730972784E-06
   -4.990215, -4.0625000000E-01,  2.7748450044E-06
   -4.990215, -3.9062500000E-01,  2.7765294769E-06
   -4.990215, -3.7500000000E-01,  2.7781503900E-06
   -4.990215, -3.5937500000E-01,  2.7797074491E-06
   -4.990215, -3.4375000000E-01,  2.7812003704E-06
   -4.990215, -3.2812500000E-01,  2.7826288813E-06
   -4.990215, -3.1250000000E-01,  2.7839927204E-06
   -4.990215, -2.9687500000E-01,  2.7852916378E-06
   -4.990215, -2.8125000000E-01,  2.7865253949E-06
   -4.990215, -2.6562500000E-01,  2.7876937648E-06
   -4.990215, -2.5000000000E-01,  2.7887965323E-06
   -4.990215, -2.3437500000E-01,  2.7898334939E-06
   -4.990215, -2.1875000000E-01,  2.7908044579E-06
   -4.990215, -2.0312500000E-01,  2.7917092449E-06
   -4.990215, -1.8750000000E-01,  2.7925476872E-06
   -4.990215, -1.7187500000E-01,  2.7933196293E-06
   -4.990215, -1.5625000000E-01,  2.7940249279E-06
   -4.990215, -1.4062500000E-01,  2.7946634519E-06
   -4.990215, -1.2500000000E-01,  2.7952350827E-06
   -4.990215, -1.0937500000E-01,  2.7957397138E-06
   -4.990215, -9.3750000000E-02,  2.7961772511E-06
   -4.990215, -7.8125000000E-02,  2.7965476133E-06
   -4.990215, -6.2500000000E-02,  2.7968507312E-06
   -4.990215, -4.6875000000E-02,  2.7970865482E-06
   -4.990215, -3.1250000000E-02,  2.7972550204E-06
   -4.990215, -1.5625000000E-02,  2.7973561163E-06
   -4.990215,  0.0000000000E+00,  2.7973898170E-06
   -4.990215,  1.5625000000E-02,  2.7973561163E-06
   -4.990215,  3.1250000000E-02,  2.7972550204E-06
   -4.990215,  4.6875000000E-02,  2.7970865482E-06
   -4.990215,  6.2500000000E-02,  2.7968507312E-06
   -4.990215,  7.8125000000E-02,  2.7965476133E-06
   -4.990215,  9.3750000000E-02,  2.7961772511E-06
   -4.990215,  1.0937500000E-01,  2.7957397138E-06
   -4.990215,  1.2500000000E-01,  2.7952350827E-06
   -4.990215,  1.4062500000E-01,  2.7946634519E-06
   -4.990215,  1.5625000000E-01,  2.7940249279E-06
   -4.990215,  1.7187500000E-01,  2.7933196293E-06
   -4.990215,  1.8750000000E-01,  2.7925476872E-06
   -4.990215,  2.0312500000E-01,  2.7917092449E-06
   -4.990215,  2.1875000000E-01,  2.7908044579E-06
   -4.990215,  2.3437500000E-01,  2.7898334939E-06
   -4.990215,  2.5000000000E-01,  2.7887965323E-06
   -4.990215,  2.6562500000E-01,  2.7876937648E-06
   -4.990215,  2.8125000000E-01,  2.7865253949E-06
   -4.990215,  2.9687500000E-01,  2.7852916378E-06
   -4.990215,  3.1250000000E-01,  2.7839927204E-06
   -4.990215,  3.2812500000E-01,  2.7826288813E-06
   -4.990215,  3.4375000000E-01,  2.7812003704E-06
   -4.990215,  3.5937500000E-01,  2.7797074491E-06
   -4.990215,  3.7500000000E-01,  2.7781503900E-06
   -4.990215,  3.9062500000E-01,  2.7765294769E-06
   -4.990215,  4.0625000000E-01,  2.7748450044E-06
   -4.990215,  4.2187500000E-01,  2.7730972784E-06
   -4.990215,  4.3750000000E-01,  2.7712866152E-06
   -4.990215,  4.5312500000E-01,  2.7694133418E-06
   -4.990215,  4.6875000000E-01,  2.7674777956E-06
   -4.990215,  4.8437500000E-01,  2.7654803246E-06
   -4.363992, -5.0000000000E-01,  2.3379278974E-04
   -4.363992, -4.8437500000E-01,  2.3402839051E-04
   -4.363992, -4.6875000000E-01,  2.3425707312E-04
   -4.363992, -4.5312500000E-01,  2.3447878502E-04
   -4.363992, -4.3750000000E-01,  2.3469347514E-04
   -4.363992, -4.2187500000E-01,  2.3490109385E-04
   -4.363992, -4.0625000000E-01,  2.3510159301E-04
   -4.363992, -3.9062500000E-01,  2.3529492600E-04
   -4.363992, -3.7500000000E-01,  2.3548104774E-04
   -4.363992, -3.5937500000E-01,  2.3565991471E-04
   -4.363992, -3.4375000000E-01,  2.3583148499E-04
   -4.363992, -3.2812500000E-01,  2.3599571824E-04
   -4.363992, -3.1250000000E-01,  2.3615257580E-04
   -4.363992, -2.9687500000E-01,  2.3630202062E-04
   -4.363992, -2.8125000000E-01,  2.3644401735E-04
   -4.363992, -2.6562500000E-01,  2.3657853232E-04
   -4.363992, -2.5000000000E-01,  2.3670553359E-04
   -4.363992, -2.3437500000E-01,  2.3682499093E-04
   -4.363992, -2.1875000000E-01,  2.3693687587E-04
   -4.363992, -2.0312500000E-01,  2.3704116168E-04
   -4.363992, -1.8750000000E-01,  2.3713782344E-04
   -4.363992, -1.7187500000E-01,  2.3722683800E-04
   -4.363992, -1.5625000000E-01,  2.3730818402E-04
   -4.363992, -1.4062500000E-01,  2.3738184197E-04
   -4.363992, -1.2500000000E-01,  2.3744779415E-04
   -4.363992, -1.0937500000E-01,  2.3750602469E-04
   -4.363992, -9.3750000000E-02,  2.3755651958E-04
   -4.363992, -7.8125000000E-02,  2.3759926665E-04
   -4.363992, -6.2500000000E-02,  2.3763425561E-04
   -4.363992, -4.6875000000E-02,  2.3766147800E-04
   -4.363992, -3.1250000000E-02,  2.3768092726E-04
   -4.363992, -1.5625000000E-02,  2.3769259869E-04
   -4.363992,  0.0000000000E+00,  2.3769648948E-04
   -4.363992,  1.5625000000E-02,  2.3769259869E-04
   -4.363992,  3.1250000000E-02,  2.3768092726E-04
   -4.363992,  4.6875000000E-02,  2.3766147800E-04
   -4.363992,  6.2500000000E-02,  2.3763425561E-04
   -4.363992,  7.8125000000E-02,  2.3759926665E-04
   -4.363992,  9.3750000000E-02,  2.3755651958E-04
   -4.363992,  1.0937500000E-01,  2.3750602469E-04
   -4.363992,  1.2500000000E-01,  2.3744779415E-04
   -4.363992,  1.4062500000E-01,  2.3738184197E-04
   -4.363992,  1.5625000000E-01,  2.3730818402E-04
   -4.363992,  1.7187500000E-01,  2.3722683800E-04
   -4.363992,  1.8750000000E-01,  2.3713782344E-04
   -4.363992,  2.0312500000E-01,  2.3704116168E-04
   -4.363992,  2.1875000000E-01,  2.3693687587E-04
   -4.363992,  2.3437500000E-01,  2.3682499093E-04
   -4.363992,  2.5000000000E-01,  2.3670553359E-04
   -4.363992,  2.6562500000E-01,  2.3657853232E-04
   -4.363992,  2.8125000000E-01,  2.3644401735E-04
   -4.363992,  2.9687500000E-01,  2.3630202062E-04
   -4.363992,  3.1250000000E-01,  2.3615257580E-04
   -4.363992,  3.2812500000E-01,  2.3599571824E-04
   -4.363992,  3.4375000000E-01,  2.3583148499E-04
   -4.363992,  3.5937500000E-01,  2.3565991471E-04
   -4.363992,  3.7500000000E-01,  2.3548104774E-04
   -4.363992,  3.9062500000E-01,  2.3529492600E-04
   -4.363992,  4.0625000000E-01,  2.3510159301E-04
   -4.363992,  4.2187500000E-01,  2.3490109385E-04
   -4.363992,  4.3750000000E-01,  2.3469347514E-04
   -4.363992,  4.5312500000E-01,  2.3447878502E-04
   -4.363992,  4.6875000000E-01,  2.3425707312E-04
   -4.363992,  4.8437500000E-01,  2.3402839051E-04
   -3.737769, -5.0000000000E-01,  9.3159403285E-03
   -3.737769, -4.8437500000E-01,  9.3291433258E-03
   -3.737769, -4.6875000000E-01,  9.3419686718E-03
   -3.737769, -4.5312500000E-01,  9.3544125179E-03
   -3.737769, -4.3750000000E-01,  9.3664711151E-03
   -3.737769, -4.2187500000E-01,  9.3781408164E-03
   -3.737769, -4.0625000000E-01,  9.3894180792E-03
   -3.737769, -3.9062500000E-01,  9.4002994681E-03
   -3.737769, -3.7500000000E-01,  9.4107816568E-03
   -3.737769, -3.5937500000E-01,  9.4208614302E-03
   -3.737769, -3.4375000000E-01,  9.4305356873E-03
   -3.737769, -3.2812500000E-01,  9.4398014425E-03
   -3.737769, -3.1250000000E-01,  9.4486558280E-03
   -3.737769, -2.9687500000E-01,  9.4570960960E-03
   -3.737769, -2.8125000000E-01,  9.4651196202E-03
   -3.737769, -2.6562500000E-01,  9.4727238976E-03
   -3.737769, -2.5000000000E-01,  9.4799065507E-03
   -3.737769, -2.3437500000E-01,  9.4866653285E-03
   -3.737769, -2.1875000000E-01,  9.4929981086E-03
   -3.737769, -2.0312500000E-01,  9.4989028986E-03
   -3.737769, -1.8750000000E-01,  9.5043778370E-03
   -3.737769, -1.7187500000E-01,  9.5094211951E-03
   -3.737769, -1.5625000000E-01,  9.5140313780E-03
   -3.737769, -1.4062500000E-01,  9.5182069256E-03
   -3.737769, -1.2500000000E-01,  9.5219465139E-03
   -3.737769, -1.0937500000E-01,  9.5252489554E-03
   -3.737769, -9.3750000000E-02,  9.5281132008E-03
   -3.737769, -7.8125000000E-02,  9.5305383387E-03
   -3.737769, -6.2500000000E-02,  9.5325235972E-03
   -3.737769, -4.6875000000E-02,  9.5340683439E-03
   -3.737769, -3.1250000000E-02,  9.5351720864E-03
   -3.737769, -1.5625000000E-02,  9.5358344727E-03
   -3.737769,  0.0000000000E+00,  9.5360552916E-03
   -3.737769,  1.5625000000E-02,  9.5358344727E-03
   -3.737769,  3.1250000000E-02,  9.5351720864E-03
   -3.737769,  4.6875000000E-02,  9.5340683439E-03
   -3.737769,  6.2500000000E-02,  9.5325235972E-03
   -3.737769,  7.8125000000E-02,  9.5305383387E-03
   -3.737769,  9.3750000000E-02,  9.5281132008E-03
   -3.737769,  1.0937500000E-01,  9.5252489554E-03
   -3.737769,  1.2500000000E-01,  9.5219465139E-03
   -3.737769,  1.4062500000E-01,  9.5182069256E-03
   -3.737769,  1.5625000000E-01,  9.5140313780E-03
   -3.737769,  1.7187500000E-01,  9.5094211951E-03
   -3.737769,  1.8750000000E-01,  9.5043778370E-03
   -3.737769,  2.0312500000E-01,  9.4989028986E-03
