idx,x,y,z,K_approx,K_exact,abs_err
1,0.000000E+00,0.000000E+00,1.000000E+00,1.173652E+00,1.000000E+00,1.736515E-01
2,************,************,9.949875E-01,1.177569E+00,1.000000E+00,1.775688E-01
3,1.234828E-02,1.407023E-01,9.899749E-01,1.173104E+00,1.000000E+00,1.731039E-01
4,1.051193E-01,************,9.849624E-01,1.173504E+00,1.000000E+00,1.735042E-01
5,************,3.470474E-02,9.799499E-01,1.171917E+00,1.000000E+00,1.719173E-01
6,1.877183E-01,1.194110E-01,9.749373E-01,1.173830E+00,1.000000E+00,1.738298E-01
7,************,************,9.699248E-01,1.171013E+00,1.000000E+00,1.710130E-01
8,************,2.330195E-01,9.649123E-01,1.178006E+00,1.000000E+00,1.780058E-01
9,2.633326E-01,************,9.598997E-01,1.178157E+00,1.000000E+00,1.781569E-01
10,************,************,9.548872E-01,1.180252E+00,1.000000E+00,1.802521E-01
11,1.325074E-01,2.831605E-01,9.498747E-01,1.180801E+00,1.000000E+00,1.808013E-01
12,9.800599E-02,************,9.448622E-01,1.169011E+00,1.000000E+00,1.690107E-01
13,************,1.712750E-01,9.398496E-01,1.171235E+00,1.000000E+00,1.712355E-01
14,3.467950E-01,7.624191E-02,9.348371E-01,1.172206E+00,1.000000E+00,1.722059E-01
15,************,************,9.298246E-01,1.177051E+00,1.000000E+00,1.770505E-01
16,************,3.772699E-01,9.248120E-01,1.180636E+00,1.000000E+00,1.806358E-01
17,3.000396E-01,************,9.197995E-01,1.176801E+00,1.000000E+00,1.768011E-01
18,************,************,9.147870E-01,1.184962E+00,1.000000E+00,1.849623E-01
19,2.942372E-01,2.928053E-01,9.097744E-01,1.185864E+00,1.000000E+00,1.858641E-01
20,************,************,9.047619E-01,1.185962E+00,1.000000E+00,1.859617E-01
21,************,3.350662E-01,8.997494E-01,1.180056E+00,1.000000E+00,1.800562E-01
22,4.426054E-01,************,8.947368E-01,1.181108E+00,1.000000E+00,1.811077E-01
23,************,************,8.897243E-01,1.180837E+00,1.000000E+00,1.808374E-01
24,1.023087E-01,4.547725E-01,8.847118E-01,1.183347E+00,1.000000E+00,1.833468E-01
25,2.364247E-01,************,8.796992E-01,1.181462E+00,1.000000E+00,1.814624E-01
26,************,1.473139E-01,8.746867E-01,1.178542E+00,1.000000E+00,1.785419E-01
27,4.481095E-01,2.070379E-01,8.696742E-01,1.176050E+00,1.000000E+00,1.760499E-01
28,************,************,8.646617E-01,1.175546E+00,1.000000E+00,1.755463E-01
29,************,4.807343E-01,8.596491E-01,1.177367E+00,1.000000E+00,1.773669E-01
30,4.596139E-01,************,8.546366E-01,1.180213E+00,1.000000E+00,1.802132E-01
31,************,************,8.496241E-01,1.178916E+00,1.000000E+00,1.789163E-01
32,2.895535E-01,4.503222E-01,8.446115E-01,1.179231E+00,1.000000E+00,1.792313E-01
33,9.200627E-02,************,8.395990E-01,1.178775E+00,1.000000E+00,1.787753E-01
34,************,3.373036E-01,8.345865E-01,1.179178E+00,1.000000E+00,1.791778E-01
35,5.564903E-01,4.610409E-02,8.295739E-01,1.179696E+00,1.000000E+00,1.796964E-01
36,************,************,8.245614E-01,1.176952E+00,1.000000E+00,1.769522E-01
37,2.795298E-03,5.730025E-01,8.195489E-01,1.177224E+00,1.000000E+00,1.772237E-01
38,3.897690E-01,************,8.145363E-01,1.178582E+00,1.000000E+00,1.785815E-01
39,************,5.417891E-02,8.095238E-01,1.180417E+00,1.000000E+00,1.804170E-01
40,4.731064E-01,3.590709E-01,8.045113E-01,1.182075E+00,1.000000E+00,1.820754E-01
41,************,************,7.994987E-01,1.183453E+00,1.000000E+00,1.834526E-01
42,************,5.139815E-01,7.944862E-01,1.184452E+00,1.000000E+00,1.844524E-01
43,5.919565E-01,************,7.894737E-01,1.184351E+00,1.000000E+00,1.843511E-01
44,************,************,7.844612E-01,1.184920E+00,1.000000E+00,1.849203E-01
45,2.177702E-01,5.873976E-01,7.794486E-01,1.182937E+00,1.000000E+00,1.829370E-01
46,2.385368E-01,************,7.744361E-01,1.182537E+00,1.000000E+00,1.825369E-01
47,************,2.735459E-01,7.694236E-01,1.181850E+00,1.000000E+00,1.818498E-01
48,6.161115E-01,1.899538E-01,7.644110E-01,1.181649E+00,1.000000E+00,1.816494E-01
49,************,************,7.593985E-01,1.181761E+00,1.000000E+00,1.817610E-01
50,************,6.418003E-01,7.543860E-01,1.182090E+00,1.000000E+00,1.820898E-01
51,5.398139E-01,************,7.493734E-01,1.183812E+00,1.000000E+00,1.838115E-01
52,************,************,7.443609E-01,1.182562E+00,1.000000E+00,1.825622E-01
53,4.364275E-01,5.127329E-01,7.393484E-01,1.182002E+00,1.000000E+00,1.820024E-01
