N,env_threads,threads_reported,rep,run_type,time_s
2000000,(unset),22,1,serial,9.999275E-04
2000000,(unset),22,1,parallel,9.999275E-04
2000000,(unset),22,2,serial,1.000166E-03
2000000,(unset),22,2,parallel,0.000000E+00
2000000,(unset),22,3,serial,1.999855E-03
2000000,(unset),22,3,parallel,1.000166E-03
2000000,(unset),22,4,serial,1.999855E-03
2000000,(unset),22,4,parallel,1.000166E-03
2000000,(unset),22,5,serial,9.999275E-04
2000000,(unset),22,5,parallel,9.999275E-04
20000000,(unset),22,1,serial,1.099992E-02
20000000,(unset),22,1,parallel,3.999949E-03
20000000,(unset),22,2,serial,9.999990E-03
20000000,(unset),22,2,parallel,6.999969E-03
20000000,(unset),22,3,serial,9.000063E-03
20000000,(unset),22,3,parallel,6.000042E-03
20000000,(unset),22,4,serial,1.299977E-02
20000000,(unset),22,4,parallel,5.000114E-03
20000000,(unset),22,5,serial,9.999990E-03
20000000,(unset),22,5,parallel,5.000114E-03
40000000,(unset),22,1,serial,1.899981E-02
40000000,(unset),22,1,parallel,1.400018E-02
40000000,(unset),22,2,serial,1.999998E-02
40000000,(unset),22,2,parallel,9.999990E-03
40000000,(unset),22,3,serial,1.900005E-02
40000000,(unset),22,3,parallel,9.999990E-03
40000000,(unset),22,4,serial,1.899981E-02
40000000,(unset),22,4,parallel,1.200008E-02
40000000,(unset),22,5,serial,1.900005E-02
40000000,(unset),22,5,parallel,9.999990E-03
