cycle,residual_l2
1,  4.629452E+02
2,  3.069380E+02
3,  2.072979E+02
4,  1.406478E+02
5,  9.562940E+01
6,  6.508659E+01
7,  4.431985E+01
8,  3.018465E+01
9,  2.055821E+01
10,  1.400092E+01
11,  9.534073E+00
12,  6.491417E+00
13,  4.419113E+00
14,  3.007907E+00
15,  2.047053E+00
16,  1.392939E+00
17,  9.477149E-01
18,  6.447182E-01
19,  4.385441E-01
20,  2.982718E-01
21,  2.028480E-01
22,  1.379409E-01
23,  9.379564E-02
24,  6.377392E-02
25,  4.335883E-02
26,  2.947737E-02
27,  2.003914E-02
28,  1.362233E-02
29,  9.259916E-03
30,  6.294314E-03
31,  4.278356E-03
32,  2.907998E-03
33,  1.976520E-03
34,  1.343382E-03
35,  9.130407E-04
36,  6.205456E-04
37,  4.217462E-04
38,  2.866310E-04
39,  1.948007E-04
40,  1.323895E-04
41,  8.997319E-05
42,  6.114617E-05
43,  4.155493E-05
44,  2.824056E-05
45,  1.919207E-05
46,  1.304272E-05
47,  8.863661E-06
48,  6.023604E-06
49,  4.093532E-06
50,  2.781884E-06
