x,f(x),Pseudodiff(f)(x)
     -8.0000000000,  0.0000000000E+00,  4.1131051818E-04
     -7.9377431907,  6.4637769044E-32,  4.1475679004E-04
     -7.8754863813,  6.9188866049E-31,  4.2510011524E-04
     -7.8132295720,  4.1333173577E-30,  4.4235403575E-04
     -7.7509727626,  1.9357372043E-29,  4.6654116396E-04
     -7.6887159533,  7.9054525704E-29,  4.9769324891E-04
     -7.6264591440,  2.9521585235E-28,  5.3585126774E-04
     -7.5642023346,  1.0338887618E-27,  5.8106554520E-04
     -7.5019455253,  3.4473737400E-27,  6.3339590000E-04
     -7.4396887160,  1.1051320002E-26,  6.9291181969E-04
     -7.3774319066,  3.4287824762E-26,  7.5969266539E-04
     -7.3151750973,  1.0344896172E-25,  8.3382790635E-04
     -7.2529182879,  3.0457488973E-25,  9.1541738698E-04
     -7.1906614786,  8.7740301396E-25,  1.0045716258E-03
     -7.1284046693,  2.4782165097E-24,  1.1014121517E-03
     -7.0661478599,  6.8742663953E-24,  1.2060718735E-03
     -7.0038910506,  1.8751427765E-23,  1.3186954896E-03
     -6.9416342412,  5.0353838704E-23,  1.4394399399E-03
     -6.8793774319,  1.3323241627E-22,  1.5684748987E-03
     -6.8171206226,  3.4760978172E-22,  1.7059833167E-03
     -6.7548638132,  8.9485849143E-22,  1.8521620099E-03
     -6.6926070039,  2.2742184973E-21,  2.0072223036E-03
     -6.6303501946,  5.7085758013E-21,  2.1713907328E-03
     -6.5680933852,  1.4158473259E-20,  2.3449098029E-03
     -6.5058365759,  3.4709715087E-20,  2.5280388178E-03
     -6.4435797665,  8.4132889160E-20,  2.7210547791E-03
     -6.3813229572,  2.0168752870E-19,  2.9242533615E-03
     -6.3190661479,  4.7829486076E-19,  3.1379499722E-03
     -6.2568093385,  1.1223008454E-18,  3.3624809043E-03
     -6.1945525292,  2.6061739194E-18,  3.5982045847E-03
     -6.1322957198,  5.9903628948E-18,  3.8455029313E-03
     -6.0700389105,  1.3630952655E-17,  4.1047828289E-03
     -6.0077821012,  3.0710286509E-17,  4.3764777328E-03
     -5.9455252918,  6.8514372911E-17,  4.6610494154E-03
     -5.8832684825,  1.5138061137E-16,  4.9589898646E-03
     -5.8210116732,  3.3128040549E-16,  5.2708233527E-03
     -5.7587548638,  7.1812564019E-16,  5.5971086942E-03
