t,u_ref,forcing_ref
  0.0000,0.000000E+00,0.000000E+00
  0.0050,0.000000E+00,0.000000E+00
  0.0100,0.000000E+00,0.000000E+00
  0.0150,0.000000E+00,0.000000E+00
  0.0200,0.000000E+00,0.000000E+00
  0.0250,0.000000E+00,0.000000E+00
  0.0300,0.000000E+00,0.000000E+00
  0.0350,0.000000E+00,0.000000E+00
  0.0400,0.000000E+00,0.000000E+00
  0.0450,0.000000E+00,0.000000E+00
  0.0500,0.000000E+00,0.000000E+00
  0.0550,0.000000E+00,0.000000E+00
  0.0600,0.000000E+00,0.000000E+00
  0.0650,0.000000E+00,0.000000E+00
  0.0700,0.000000E+00,0.000000E+00
  0.0750,0.000000E+00,0.000000E+00
  0.0800,0.000000E+00,0.000000E+00
  0.0850,0.000000E+00,0.000000E+00
  0.0900,0.000000E+00,0.000000E+00
  0.0950,0.000000E+00,0.000000E+00
  0.1000,0.000000E+00,0.000000E+00
  0.1050,0.000000E+00,0.000000E+00
  0.1100,0.000000E+00,0.000000E+00
  0.1150,0.000000E+00,0.000000E+00
  0.1200,0.000000E+00,0.000000E+00
  0.1250,0.000000E+00,0.000000E+00
  0.1300,0.000000E+00,0.000000E+00
  0.1350,0.000000E+00,0.000000E+00
  0.1400,0.000000E+00,0.000000E+00
  0.1450,0.000000E+00,0.000000E+00
  0.1500,0.000000E+00,0.000000E+00
  0.1550,0.000000E+00,0.000000E+00
  0.1600,0.000000E+00,0.000000E+00
  0.1650,0.000000E+00,0.000000E+00
  0.1700,0.000000E+00,0.000000E+00
  0.1750,2.156696-306,8.641169-304
  0.1800,4.917296-267,1.970198-264
  0.1850,2.164329-230,8.671751-228
  0.1900,1.838991-196,7.368231-194
  0.1950,3.016446-165,1.208590-162
  0.2000,9.551486-137,3.826965-134
  0.2050,5.838561-111,2.339318-108
  0.2100,6.889698E-88,2.760474E-85
  0.2150,1.569474E-67,6.288362E-65
  0.2200,6.901879E-50,2.765355E-47
  0.2250,5.859225E-35,2.347598E-32
  0.2300,9.602238E-23,3.847299E-20
  0.2350,3.037836E-13,1.217160E-10
  0.2400,1.855307E-06,7.433598E-04
  0.2450,2.187760E-02,8.764150E+00
  0.2500,5.414537E-01,1.994711E+02
  0.2550,1.057646E+00,8.764150E+00
  0.2600,1.074210E+00,7.433598E-04
  0.2650,1.068854E+00,1.217160E-10
  0.2700,1.063523E+00,3.847299E-20
  0.2750,1.058219E+00,2.347598E-32
  0.2800,1.052941E+00,2.765355E-47
  0.2850,1.047690E+00,6.288362E-65
  0.2900,1.042464E+00,2.760474E-85
  0.2950,1.037265E+00,2.339318-108
  0.3000,1.032092E+00,3.826965-134
  0.3050,1.026944E+00,1.208590-162
  0.3100,1.021822E+00,7.368231-194
  0.3150,1.016726E+00,8.671751-228
  0.3200,1.011655E+00,1.970198-264
  0.3250,1.006609E+00,8.641169-304
  0.3300,1.001589E+00,0.000000E+00
  0.3350,9.965932E-01,0.000000E+00
  0.3400,9.916226E-01,0.000000E+00
  0.3450,9.866769E-01,0.000000E+00
  0.3500,9.817558E-01,0.000000E+00
  0.3550,9.768593E-01,0.000000E+00
  0.3600,9.719872E-01,0.000000E+00
  0.3650,9.671394E-01,0.000000E+00
  0.3700,9.623158E-01,0.000000E+00
  0.3750,9.575162E-01,0.000000E+00
  0.3800,9.527406E-01,0.000000E+00
  0.3850,9.479887E-01,0.000000E+00
  0.3900,9.432606E-01,0.000000E+00
  0.3950,9.385561E-01,0.000000E+00
  0.4000,9.338750E-01,0.000000E+00
  0.4050,9.292173E-01,0.000000E+00
  0.4100,9.245828E-01,0.000000E+00
  0.4150,9.199714E-01,0.000000E+00
  0.4200,9.153831E-01,0.000000E+00
  0.4250,9.108176E-01,8.641169-304
  0.4300,9.062749E-01,1.970198-264
  0.4350,9.017548E-01,8.671751-228
  0.4400,8.972573E-01,7.368231-194
  0.4450,8.927822E-01,1.208590-162
  0.4500,8.883294E-01,3.826965-134
  0.4550,8.838989E-01,2.339318-108
  0.4600,8.794904E-01,2.760474E-85
  0.4650,8.751039E-01,6.288362E-65
  0.4700,8.707393E-01,2.765355E-47
  0.4750,8.663965E-01,2.347598E-32
  0.4800,8.620753E-01,3.847299E-20
  0.4850,8.577757E-01,1.217160E-10
  0.4900,8.534994E-01,7.433598E-04
  0.4950,8.711183E-01,8.764150E+00
  0.5000,1.386459E+00,1.994711E+02
  0.5050,1.898436E+00,8.764150E+00
  0.5100,1.910807E+00,7.433598E-04
  0.5150,1.901279E+00,1.217160E-10
  0.5200,1.891796E+00,3.847299E-20
  0.5250,1.882361E+00,2.347598E-32
  0.5300,1.872973E+00,2.765355E-47
  0.5350,1.863631E+00,6.288362E-65
  0.5400,1.854336E+00,2.760474E-85
  0.5450,1.845088E+00,2.339318-108
  0.5500,1.835885E+00,3.826965-134
  0.5550,1.826729E+00,1.208590-162
  0.5600,1.817618E+00,7.368231-194
  0.5650,1.808552E+00,8.671751-228
  0.5700,1.799532E+00,1.970198-264
  0.5750,1.790557E+00,8.641169-304
  0.5800,1.781627E+00,0.000000E+00
  0.5850,1.772741E+00,0.000000E+00
  0.5900,1.763899E+00,0.000000E+00
  0.5950,1.755102E+00,0.000000E+00
  0.6000,1.746348E+00,0.000000E+00
  0.6050,1.737638E+00,0.000000E+00
  0.6100,1.728972E+00,0.000000E+00
  0.6150,1.720348E+00,0.000000E+00
  0.6200,1.711768E+00,0.000000E+00
  0.6250,1.703231E+00,0.000000E+00
  0.6300,1.694736E+00,0.000000E+00
  0.6350,1.686283E+00,0.000000E+00
  0.6400,1.677873E+00,0.000000E+00
  0.6450,1.669504E+00,0.000000E+00
  0.6500,1.661178E+00,0.000000E+00
  0.6550,1.652892E+00,0.000000E+00
  0.6600,1.644649E+00,0.000000E+00
  0.6650,1.636446E+00,0.000000E+00
  0.6700,1.628284E+00,0.000000E+00
  0.6750,1.620163E+00,8.641169-304
  0.6800,1.612082E+00,1.970198-264
  0.6850,1.604042E+00,8.671751-228
  0.6900,1.596042E+00,7.368231-194
  0.6950,1.588082E+00,1.208590-162
  0.7000,1.580161E+00,3.826965-134
  0.7050,1.572280E+00,2.339318-108
  0.7100,1.564438E+00,2.760474E-85
  0.7150,1.556636E+00,6.288362E-65
  0.7200,1.548872E+00,2.765355E-47
  0.7250,1.541147E+00,2.347598E-32
  0.7300,1.533460E+00,3.847299E-20
  0.7350,1.525812E+00,1.217160E-10
  0.7400,1.518204E+00,7.433598E-04
  0.7450,1.532508E+00,8.764150E+00
  0.7500,2.044549E+00,1.994711E+02
  0.7550,2.553245E+00,8.764150E+00
  0.7600,2.562350E+00,7.433598E-04
  0.7650,2.549572E+00,1.217160E-10
  0.7700,2.536856E+00,3.847299E-20
  0.7750,2.524203E+00,2.347598E-32
  0.7800,2.511614E+00,2.765355E-47
  0.7850,2.499087E+00,6.288362E-65
  0.7900,2.486623E+00,2.760474E-85
  0.7950,2.474221E+00,2.339318-108
  0.8000,2.461880E+00,3.826965-134
  0.8050,2.449602E+00,1.208590-162
  0.8100,2.437384E+00,7.368231-194
  0.8150,2.425228E+00,8.671751-228
  0.8200,2.413132E+00,1.970198-264
  0.8250,2.401096E+00,8.641169-304
  0.8300,2.389121E+00,0.000000E+00
  0.8350,2.377205E+00,0.000000E+00
  0.8400,2.365349E+00,0.000000E+00
  0.8450,2.353551E+00,0.000000E+00
  0.8500,2.341813E+00,0.000000E+00
  0.8550,2.330133E+00,0.000000E+00
  0.8600,2.318512E+00,0.000000E+00
  0.8650,2.306948E+00,0.000000E+00
  0.8700,2.295442E+00,0.000000E+00
  0.8750,2.283993E+00,0.000000E+00
  0.8800,2.272602E+00,0.000000E+00
  0.8850,2.261267E+00,0.000000E+00
  0.8900,2.249989E+00,0.000000E+00
  0.8950,2.238767E+00,0.000000E+00
  0.9000,2.227601E+00,0.000000E+00
  0.9050,2.216491E+00,0.000000E+00
  0.9100,2.205436E+00,0.000000E+00
  0.9150,2.194437E+00,0.000000E+00
  0.9200,2.183492E+00,0.000000E+00
  0.9250,2.172602E+00,0.000000E+00
  0.9300,2.161766E+00,0.000000E+00
  0.9350,2.150984E+00,0.000000E+00
  0.9400,2.140256E+00,0.000000E+00
  0.9450,2.129581E+00,0.000000E+00
  0.9500,2.118960E+00,0.000000E+00
  0.9550,2.108392E+00,0.000000E+00
  0.9600,2.097876E+00,0.000000E+00
  0.9650,2.087413E+00,0.000000E+00
  0.9700,2.077002E+00,0.000000E+00
  0.9750,2.066643E+00,0.000000E+00
  0.9800,2.056335E+00,0.000000E+00
  0.9850,2.046079E+00,0.000000E+00
  0.9900,2.035874E+00,0.000000E+00
  0.9950,2.025720E+00,0.000000E+00
  1.0000,2.015617E+00,0.000000E+00
