x f df_spec df_fd df_exact err_spec err_fd
  0.00000000   0.00000000  3.00000000E+00  2.99728997E+00  3.00000000E+00  1.28785871E-14  2.71003308E-03
  0.02454369   0.07356456  2.99187137E+00  2.98916868E+00  2.99187137E+00  1.86961557E-13  2.70269013E-03
  0.04908739   0.14673047  2.96752953E+00  2.96484883E+00  2.96752953E+00  1.26743060E-12  2.68070106E-03
  0.07363108   0.21910124  2.92710639E+00  2.92446221E+00  2.92710639E+00  1.16839871E-12  2.64418505E-03
  0.09817477   0.29028468  2.87082101E+00  2.86822767E+00  2.87082101E+00  3.67705866E-13  2.59333996E-03
  0.12271846   0.35989504  2.79897840E+00  2.79644996E+00  2.79897840E+00  4.47641924E-13  2.52844135E-03
  0.14726216   0.42755509  2.71196788E+00  2.70951804E+00  2.71196788E+00  8.57980353E-13  2.44984089E-03
  0.17180585   0.49289819  2.61026097E+00  2.60790301E+00  2.61026097E+00  9.83657600E-13  2.35796453E-03
  0.19634954   0.55557023  2.49440884E+00  2.49215553E+00  2.49440884E+00  2.22488694E-13  2.25331015E-03
  0.22089323   0.61523159  2.36503928E+00  2.36290284E+00  2.36503928E+00  9.80104886E-13  2.13644490E-03
  0.24543693   0.67155895  2.22285338E+00  2.22084537E+00  2.22285338E+00  1.05693232E-12  2.00800206E-03
  0.26998062   0.72424708  2.06862163E+00  2.06675296E+00  2.06862163E+00  1.26210153E-12  1.86867769E-03
  0.29452431   0.77301045  1.90317985E+00  1.90146063E+00  1.90317985E+00  6.69686528E-13  1.71922679E-03
  0.31906800   0.81758481  1.72742457E+00  1.72586412E+00  1.72742457E+00  8.61533067E-14  1.56045925E-03
  0.34361170   0.85772861  1.54230823E+00  1.54091500E+00  1.54230823E+00  7.77156117E-15  1.39323544E-03
  0.36815539   0.89322430  1.34883399E+00  1.34761553E+00  1.34883399E+00  1.11621823E-12  1.21846158E-03
  0.39269908   0.92387953  1.14805030E+00  1.14701321E+00  1.14805030E+00  1.87050375E-12  1.03708476E-03
  0.41724277   0.94952818  9.41045221E-01  9.40195133E-01  9.41045221E-01  6.27609076E-13  8.50087893E-04
  0.44178647   0.97003125  7.28940540E-01  7.28282055E-01  7.28940540E-01  5.36903855E-13  6.58484325E-04
  0.46633016   0.98527764  5.12885666E-01  5.12422354E-01  5.12885666E-01  2.17492691E-13  4.63312374E-04
  0.49087385   0.99518473  2.94051421E-01  2.93785791E-01  2.94051421E-01  4.80948614E-13  2.65629693E-04
  0.51541754   0.99969882  7.36236856E-02  7.35571780E-02  7.36236856E-02  3.60475538E-13  6.65075411E-05
  0.53996124   0.99879546 -1.47203023E-01 -1.47070048E-01 -1.47203023E-01  3.83248988E-13  1.32975021E-04
  0.56450493   0.99247953 -3.67232026E-01 -3.66900289E-01 -3.67232026E-01  9.17599330E-14  3.31736979E-04
  0.58904862   0.98078528 -5.85270966E-01 -5.84742265E-01 -5.85270966E-01  1.80133686E-12  5.28701226E-04
  0.61359232   0.96377607 -8.00138272E-01 -7.99415472E-01 -8.00138272E-01  6.40154596E-13  7.22800395E-04
  0.63813601   0.94154407 -1.01066956E+00 -1.00975658E+00 -1.01066956E+00  1.18172139E-12  9.12982647E-04
  0.66267970   0.91420976 -1.21572394E+00 -1.21462572E+00 -1.21572394E+00  6.91890989E-13  1.09821737E-03
  0.68722339   0.88192126 -1.41419021E+00 -1.41291271E+00 -1.41419021E+00  1.84741111E-13  1.27750075E-03
  0.71176709   0.84485357 -1.60499286E+00 -1.60354300E+00 -1.60499286E+00  5.73985304E-13  1.44986125E-03
  0.73631078   0.80320753 -1.78709791E+00 -1.78548355E+00 -1.78709791E+00  4.10782519E-14  1.61436482E-03
  0.76085447   0.75720885 -1.95951853E+00 -1.95774841E+00 -1.95951853E+00  3.36619621E-13  1.77012001E-03
  0.78539816   0.70710678 -2.12132034E+00 -2.11940406E+00 -2.12132034E+00  3.70814490E-13  1.91628277E-03
  0.80994186   0.65317284 -2.27162654E+00 -2.26957448E+00 -2.27162654E+00  3.37063710E-13  2.05206102E-03
  0.83448555   0.59569930 -2.40962259E+00 -2.40744588E+00 -2.40962259E+00  3.43280959E-13  2.17671898E-03
  0.85902924   0.53499762 -2.53456070E+00 -2.53227111E+00 -2.53456070E+00  2.71338507E-13  2.28958111E-03
  0.88357293   0.47139674 -2.64576379E+00 -2.64337376E+00 -2.64576379E+00  1.05249143E-12  2.39003580E-03
  0.90811663   0.40524131 -2.74262927E+00 -2.74015173E+00 -2.74262927E+00  4.88054042E-13  2.47753868E-03
