re_z,im_z,abs_R_euler,abs_R_rk4
 -4.0000, -4.0000,5.000000E+00,2.606189E+01
 -4.0000, -3.9600,4.968058E+00,2.545768E+01
 -4.0000, -3.9200,4.936233E+00,2.486725E+01
 -4.0000, -3.8800,4.904529E+00,2.429036E+01
 -4.0000, -3.8400,4.872946E+00,2.372676E+01
 -4.0000, -3.8000,4.841487E+00,2.317620E+01
 -4.0000, -3.7600,4.810156E+00,2.263844E+01
 -4.0000, -3.7200,4.778954E+00,2.211324E+01
 -4.0000, -3.6800,4.747884E+00,2.160036E+01
 -4.0000, -3.6400,4.716948E+00,2.109957E+01
 -4.0000, -3.6000,4.686150E+00,2.061064E+01
 -4.0000, -3.5600,4.655491E+00,2.013334E+01
 -4.0000, -3.5200,4.624976E+00,1.966744E+01
 -4.0000, -3.4800,4.594606E+00,1.921273E+01
 -4.0000, -3.4400,4.564384E+00,1.876898E+01
 -4.0000, -3.4000,4.534314E+00,1.833598E+01
 -4.0000, -3.3600,4.504398E+00,1.791352E+01
 -4.0000, -3.3200,4.474640E+00,1.750139E+01
 -4.0000, -3.2800,4.445042E+00,1.709938E+01
 -4.0000, -3.2400,4.415609E+00,1.670730E+01
 -4.0000, -3.2000,4.386342E+00,1.632493E+01
 -4.0000, -3.1600,4.357247E+00,1.595209E+01
 -4.0000, -3.1200,4.328325E+00,1.558858E+01
 -4.0000, -3.0800,4.299581E+00,1.523422E+01
 -4.0000, -3.0400,4.271019E+00,1.488881E+01
 -4.0000, -3.0000,4.242641E+00,1.455217E+01
 -4.0000, -2.9600,4.214451E+00,1.422413E+01
 -4.0000, -2.9200,4.186454E+00,1.390450E+01
 -4.0000, -2.8800,4.158654E+00,1.359312E+01
 -4.0000, -2.8400,4.131053E+00,1.328981E+01
 -4.0000, -2.8000,4.103657E+00,1.299440E+01
 -4.0000, -2.7600,4.076469E+00,1.270674E+01
 -4.0000, -2.7200,4.049494E+00,1.242667E+01
 -4.0000, -2.6800,4.022735E+00,1.215402E+01
 -4.0000, -2.6400,3.996198E+00,1.188864E+01
 -4.0000, -2.6000,3.969887E+00,1.163038E+01
 -4.0000, -2.5600,3.943805E+00,1.137909E+01
 -4.0000, -2.5200,3.917959E+00,1.113464E+01
 -4.0000, -2.4800,3.892351E+00,1.089687E+01
 -4.0000, -2.4400,3.866988E+00,1.066565E+01
 -4.0000, -2.4000,3.841875E+00,1.044085E+01
 -4.0000, -2.3600,3.817015E+00,1.022232E+01
 -4.0000, -2.3200,3.792413E+00,1.000996E+01
 -4.0000, -2.2800,3.768076E+00,9.803614E+00
 -4.0000, -2.2400,3.744009E+00,9.603175E+00
 -4.0000, -2.2000,3.720215E+00,9.408520E+00
 -4.0000, -2.1600,3.696701E+00,9.219529E+00
 -4.0000, -2.1200,3.673472E+00,9.036089E+00
 -4.0000, -2.0800,3.650534E+00,8.858086E+00
 -4.0000, -2.0400,3.627892E+00,8.685410E+00
 -4.0000, -2.0000,3.605551E+00,8.517955E+00
 -4.0000, -1.9600,3.583518E+00,8.355615E+00
 -4.0000, -1.9200,3.561797E+00,8.198287E+00
 -4.0000, -1.8800,3.540395E+00,8.045873E+00
 -4.0000, -1.8400,3.519318E+00,7.898273E+00
 -4.0000, -1.8000,3.498571E+00,7.755391E+00
 -4.0000, -1.7600,3.478160E+00,7.617135E+00
 -4.0000, -1.7200,3.458092E+00,7.483413E+00
 -4.0000, -1.6800,3.438372E+00,7.354135E+00
 -4.0000, -1.6400,3.419006E+00,7.229213E+00
 -4.0000, -1.6000,3.400000E+00,7.108562E+00
 -4.0000, -1.5600,3.381361E+00,6.992098E+00
 -4.0000, -1.5200,3.363094E+00,6.879738E+00
 -4.0000, -1.4800,3.345206E+00,6.771401E+00
 -4.0000, -1.4400,3.327702E+00,6.667010E+00
 -4.0000, -1.4000,3.310589E+00,6.566485E+00
 -4.0000, -1.3600,3.293873E+00,6.469752E+00
 -4.0000, -1.3200,3.277560E+00,6.376737E+00
 -4.0000, -1.2800,3.261656E+00,6.287365E+00
 -4.0000, -1.2400,3.246167E+00,6.201567E+00
 -4.0000, -1.2000,3.231099E+00,6.119271E+00
 -4.0000, -1.1600,3.216458E+00,6.040410E+00
 -4.0000, -1.1200,3.202249E+00,5.964917E+00
 -4.0000, -1.0800,3.188479E+00,5.892726E+00
 -4.0000, -1.0400,3.175154E+00,5.823773E+00
 -4.0000, -1.0000,3.162278E+00,5.757996E+00
 -4.0000, -0.9600,3.149857E+00,5.695333E+00
 -4.0000, -0.9200,3.137897E+00,5.635725E+00
 -4.0000, -0.8800,3.126404E+00,5.579114E+00
 -4.0000, -0.8400,3.115381E+00,5.525445E+00
 -4.0000, -0.8000,3.104835E+00,5.474662E+00
 -4.0000, -0.7600,3.094770E+00,5.426714E+00
 -4.0000, -0.7200,3.085190E+00,5.381549E+00
 -4.0000, -0.6800,3.076101E+00,5.339119E+00
 -4.0000, -0.6400,3.067507E+00,5.299377E+00
 -4.0000, -0.6000,3.059412E+00,5.262278E+00
 -4.0000, -0.5600,3.051819E+00,5.227781E+00
 -4.0000, -0.5200,3.044733E+00,5.195844E+00
 -4.0000, -0.4800,3.038157E+00,5.166430E+00
 -4.0000, -0.4400,3.032095E+00,5.139504E+00
 -4.0000, -0.4000,3.026549E+00,5.115032E+00
 -4.0000, -0.3600,3.021523E+00,5.092984E+00
 -4.0000, -0.3200,3.017018E+00,5.073333E+00
 -4.0000, -0.2800,3.013038E+00,5.056054E+00
 -4.0000, -0.2400,3.009585E+00,5.041123E+00
