time,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64
    0.196350,2.561446E+01,3.323561E+01,1.752799E+01,2.717317E+00,5.059844E-01,1.505809E-01,6.202997E-02,3.109938E-02,1.770488E-02,1.101180E-02,7.309235E-03,5.099112E-03,3.699569E-03,2.770474E-03,2.129427E-03,1.672697E-03,1.338348E-03,1.087852E-03,8.963841E-04,7.474562E-04,6.298247E-04,5.356401E-04,4.593082E-04,3.967679E-04,3.450214E-04,3.018224E-04,2.654649E-04,2.346369E-04,2.083181E-04,1.857064E-04,1.661656E-04,1.491863E-04,1.343573E-04,1.213443E-04,1.098735E-04,9.971895E-05,9.069331E-05,8.264020E-05,7.542839E-05,6.894720E-05,6.310281E-05,5.781531E-05,5.301640E-05,4.864742E-05,4.465781E-05,4.100388E-05,3.764774E-05,3.455647E-05,3.170142E-05,2.905768E-05,2.660361E-05,2.432052E-05,2.219247E-05,2.020609E-05,1.835063E-05,1.661812E-05,1.500374E-05,1.350646E-05,1.213006E-05,1.088464E-05,9.788367E-06,8.869224E-06,8.164846E-06,7.717807E-06,7.564004E-06
    0.392699,3.319609E+00,2.055962E+01,3.063908E+01,1.273225E+01,1.876290E+00,3.571258E-01,1.046574E-01,4.037746E-02,1.827501E-02,9.145199E-03,4.932832E-03,2.877586E-03,1.872459E-03,1.399511E-03,1.179049E-03,1.062957E-03,9.851564E-04,9.208005E-04,8.617330E-04,8.057257E-04,7.524325E-04,7.019835E-04,6.545362E-04,6.101595E-04,5.688270E-04,5.304392E-04,4.948484E-04,4.618801E-04,4.313479E-04,4.030637E-04,3.768441E-04,3.525150E-04,3.299129E-04,3.088863E-04,2.892958E-04,2.710140E-04,2.539243E-04,2.379207E-04,2.229069E-04,2.087951E-04,1.955059E-04,1.829667E-04,1.711117E-04,1.598808E-04,1.492191E-04,1.390766E-04,1.294074E-04,1.201695E-04,1.113239E-04,1.028351E-04,9.467008E-05,8.679814E-05,7.919086E-05,7.182171E-05,6.466591E-05,5.770021E-05,5.090284E-05,4.425340E-05,3.773298E-05,3.132448E-05,2.501371E-05,1.879295E-05,1.267486E-05,6.781056E-06,2.810621E-06
    0.589049,2.089259E+00,5.746595E+00,2.496833E+01,2.823474E+01,8.149219E+00,1.422852E+00,3.700649E-01,1.439649E-01,7.097180E-02,4.032252E-02,2.515201E-02,1.676206E-02,1.173582E-02,8.536806E-03,6.401661E-03,4.920888E-03,3.860969E-03,3.081924E-03,2.496278E-03,2.047407E-03,1.697528E-03,1.420755E-03,1.198943E-03,1.019109E-03,8.717923E-04,7.499853E-04,6.484221E-04,5.630919E-04,4.909023E-04,4.294431E-04,3.768164E-04,3.315137E-04,2.923256E-04,2.582751E-04,2.285667E-04,2.025484E-04,1.796825E-04,1.595228E-04,1.416970E-04,1.258929E-04,1.118472E-04,9.933719E-05,8.817344E-05,7.819422E-05,6.926096E-05,6.125449E-05,5.407199E-05,4.762439E-05,4.183433E-05,3.663437E-05,3.196547E-05,2.777574E-05,2.401929E-05,2.065532E-05,1.764717E-05,1.496159E-05,1.256795E-05,1.043762E-05,8.543500E-06,6.859907E-06,5.363428E-06,4.036569E-06,2.880658E-06,1.964321E-06,1.561273E-06
    0.785398,5.698679E-01,1.606243E+00,9.208748E+00,2.887559E+01,2.405648E+01,4.825025E+00,9.217638E-01,2.771838E-01,1.181421E-01,6.166676E-02,3.647207E-02,2.346325E-02,1.603489E-02,1.146909E-02,8.500328E-03,6.482240E-03,5.060055E-03,4.027481E-03,3.258747E-03,2.674068E-03,2.221099E-03,1.864485E-03,1.579736E-03,1.349510E-03,1.161278E-03,1.005835E-03,8.763052E-04,7.674817E-04,6.753704E-04,5.968713E-04,5.295521E-04,4.714856E-04,4.211313E-04,3.772467E-04,3.388224E-04,3.050323E-04,2.751954E-04,2.487472E-04,2.252165E-04,2.042082E-04,1.853889E-04,1.684759E-04,1.532287E-04,1.394412E-04,1.269362E-04,1.155610E-04,1.051831E-04,9.568732E-05,8.697298E-05,7.895200E-05,7.154703E-05,6.469001E-05,5.832112E-05,5.238787E-05,4.684462E-05,4.165242E-05,3.677937E-05,3.220185E-05,2.790717E-05,2.389903E-05,2.020811E-05,1.691263E-05,1.417405E-05,1.227630E-05,1.158108E-05
    0.981748,1.718420E-01,3.956174E-01,2.053614E+00,1.387909E+01,3.097031E+01,1.895562E+01,2.878913E+00,5.141233E-01,1.510356E-01,6.324823E-02,3.285954E-02,1.959911E-02,1.284356E-02,9.003433E-03,6.636235E-03,5.083520E-03,4.014001E-03,3.247704E-03,2.680603E-03,2.249430E-03,1.914025E-03,1.647960E-03,1.433294E-03,1.257515E-03,1.111689E-03,9.893040E-04,8.855245E-04,7.966993E-04,7.200308E-04,6.533465E-04,5.949383E-04,5.434483E-04,4.977860E-04,4.570672E-04,4.205687E-04,3.876943E-04,3.579488E-04,3.309178E-04,3.062524E-04,2.836571E-04,2.628799E-04,2.437047E-04,2.259456E-04,2.094415E-04,1.940519E-04,1.796543E-04,1.661408E-04,1.534164E-04,1.413967E-04,1.300065E-04,1.191787E-04,1.088528E-04,9.897429E-05,8.949386E-05,8.036659E-05,7.155155E-05,6.301148E-05,5.471264E-05,4.662506E-05,3.872368E-05,3.099164E-05,2.343039E-05,1.609802E-05,9.319997E-06,5.449980E-06
    1.178097,1.121695E-01,1.759074E-01,5.405076E-01,2.936616E+00,1.912591E+01,3.094168E+01,1.369736E+01,2.023467E+00,3.841017E-01,1.155695E-01,4.739977E-02,2.352152E-02,1.323208E-02,8.130848E-03,5.333711E-03,3.679101E-03,2.640690E-03,1.957357E-03,1.489890E-03,1.159586E-03,9.197340E-04,7.414477E-04,6.062234E-04,5.018430E-04,4.200207E-04,3.550049E-04,3.027185E-04,2.602177E-04,2.253408E-04,1.964763E-04,1.724062E-04,1.521984E-04,1.351314E-04,1.206402E-04,1.082788E-04,9.769104E-05,8.859055E-05,8.074490E-05,7.396402E-05,6.809126E-05,6.299655E-05,5.857115E-05,5.472351E-05,5.137606E-05,4.846270E-05,4.592682E-05,4.371971E-05,4.179932E-05,4.012925E-05,3.867794E-05,3.741803E-05,3.632577E-05,3.538061E-05,3.456479E-05,3.386300E-05,3.326212E-05,3.275092E-05,3.231993E-05,3.196115E-05,3.166800E-05,3.143509E-05,3.125819E-05,3.113406E-05,3.106047E-05,3.103609E-05
    1.374447,4.868057E-02,9.797660E-02,2.664964E-01,9.310728E-01,4.920084E+00,2.420142E+01,2.880201E+01,9.002714E+00,1.534426E+00,3.818574E-01,1.441029E-01,6.967113E-02,3.903159E-02,2.407038E-02,1.588020E-02,1.101458E-02,7.940563E-03,5.902777E-03,4.498653E-03,3.499874E-03,2.770231E-03,2.224980E-03,1.809494E-03,1.487468E-03,1.234132E-03,1.032190E-03,8.693179E-04,7.365690E-04,6.273452E-04,5.367073E-04,4.609083E-04,3.970710E-04,3.429615E-04,2.968276E-04,2.572823E-04,2.232176E-04,1.937418E-04,1.681316E-04,1.457966E-04,1.262516E-04,1.090955E-04,9.399494E-05,8.067181E-05,6.889275E-05,5.846145E-05,4.921236E-05,4.100584E-05,3.372453E-05,2.727098E-05,2.156700E-05,1.655622E-05,1.221428E-05,8.581637E-06,5.864802E-06,4.604931E-06,5.104630E-06,6.532859E-06,8.134322E-06,9.628519E-06,1.092476E-05,1.199314E-05,1.282460E-05,1.341751E-05,1.377257E-05,1.389079E-05
    1.570796,5.516033E-02,7.384028E-02,1.444924E-01,3.732709E-01,1.448804E+00,8.317275E+00,2.828684E+01,2.494284E+01,5.392717E+00,1.030687E+00,3.062200E-01,1.296669E-01,6.743371E-02,3.976840E-02,2.551189E-02,1.738260E-02,1.239251E-02,9.152346E-03,6.953108E-03,5.405837E-03,4.284462E-03,3.451206E-03,2.818717E-03,2.329719E-03,1.945555E-03,1.639474E-03,1.392547E-03,1.191117E-03,1.025158E-03,8.871923E-04,7.715652E-04,6.739436E-04,5.909689E-04,5.200099E-04,4.589848E-04,4.062313E-04,3.604114E-04,3.204392E-04,2.854273E-04,2.546456E-04,2.274893E-04,2.034549E-04,1.821205E-04,1.631308E-04,1.461852E-04,1.310279E-04,1.174404E-04,1.052353E-04,9.425109E-05,8.434794E-05,7.540460E-05,6.731552E-05,5.998873E-05,5.334414E-05,4.731246E-05,4.183453E-05,3.686139E-05,3.235533E-05,2.829215E-05,2.466551E-05,2.149378E-05,1.882962E-05,1.676830E-05,1.544228E-05,1.498143E-05
    1.767146,1.613075E-02,2.340749E-02,4.798382E-02,1.171068E-01,3.797771E-01,1.931442E+00,1.287688E+01,3.073042E+01,1.998953E+01,3.158609E+00,5.793429E-01,1.753240E-01,7.539652E-02,3.985956E-02,2.395463E-02,1.568334E-02,1.091051E-02,7.939718E-03,5.981365E-03,4.631159E-03,3.666129E-03,2.955757E-03,2.419839E-03,2.007045E-03,1.683384E-03,1.425676E-03,1.217707E-03,1.047881E-03,9.077431E-04,7.910184E-04,6.929787E-04,6.100108E-04,5.393190E-04,4.787148E-04,4.264675E-04,3.811954E-04,3.417854E-04,3.073341E-04,2.771025E-04,2.504819E-04,2.269681E-04,2.061408E-04,1.876477E-04,1.711923E-04,1.565236E-04,1.434286E-04,1.317256E-04,1.212593E-04,1.118962E-04,1.035219E-04,9.603756E-05,8.935820E-05,8.341035E-05,7.813070E-05,7.346471E-05,6.936556E-05,6.579317E-05,6.271351E-05,6.009791E-05,5.792252E-05,5.616791E-05,5.481865E-05,5.386304E-05,5.329291E-05,5.310340E-05
    1.963495,1.915475E-02,2.176312E-02,3.151446E-02,5.750747E-02,1.367031E-01,4.716347E-01,2.679018E+00,1.808568E+01,3.111883E+01,1.470980E+01,2.135591E+00,3.852406E-01,1.091194E-01,4.194259E-02,1.942639E-02,1.018472E-02,5.856418E-03,3.641970E-03,2.439512E-03,1.758563E-03,1.358359E-03,1.112261E-03,9.515360E-04,8.388405E-04,7.540443E-04,6.862889E-04,6.296237E-04,5.806843E-04,5.374826E-04,4.987781E-04,4.637489E-04,4.318166E-04,4.025506E-04,3.756152E-04,3.507383E-04,3.276931E-04,3.062863E-04,2.863508E-04,2.677406E-04,2.503266E-04,2.339944E-04,2.186418E-04,2.041773E-04,1.905185E-04,1.775912E-04,1.653280E-04,1.536678E-04,1.425549E-04,1.319386E-04,1.217722E-04,1.120129E-04,1.026212E-04,9.356042E-05,8.479662E-05,7.629806E-05,6.803505E-05,5.997964E-05,5.210547E-05,4.438760E-05,3.680240E-05,2.932773E-05,2.194358E-05,1.463550E-05,7.418504E-06,1.477709E-06
