x,y,dy_dx,EL_residual
  0.0000000000E+00,  1.0000000000E+00,  6.2821518156E-01,  9.380
  1.0000000000E-02,  1.0062821518E+00,  6.2790519529E-01,  9.442
  2.0000000000E-02,  1.0125581039E+00,  6.2697554240E-01,  8.886
  3.0000000000E-02,  1.0188216627E+00,  6.2542714035E-01,  8.330
  4.0000000000E-02,  1.0250666467E+00,  6.2326151722E-01,  7.776
  5.0000000000E-02,  1.0312868930E+00,  6.2048081021E-01,  7.225
  6.0000000000E-02,  1.0374762629E+00,  6.1708776356E-01,  6.676
  7.0000000000E-02,  1.0436286483E+00,  6.1308572579E-01,  6.130
  8.0000000000E-02,  1.0497379774E+00,  6.0847864643E-01,  5.588
  9.0000000000E-02,  1.0557982212E+00,  6.0327107210E-01,  5.051
  1.0000000000E-01,  1.0618033989E+00,  5.9746814206E-01,  4.518
  1.1000000000E-01,  1.0677475840E+00,  5.9107558310E-01,  3.991
  1.2000000000E-01,  1.0736249105E+00,  5.8409970389E-01,  3.470
  1.3000000000E-01,  1.0794295781E+00,  5.7654738880E-01,  2.955
  1.4000000000E-01,  1.0851558583E+00,  5.6842609105E-01,  2.447
  1.5000000000E-01,  1.0907980999E+00,  5.5974382537E-01,  1.947
  1.6000000000E-01,  1.0963507348E+00,  5.5050916011E-01,  1.454
  1.7000000000E-01,  1.1018082832E+00,  5.4073120877E-01,  9.708
  1.8000000000E-01,  1.1071653590E+00,  5.3041962102E-01,  4.957
  1.9000000000E-01,  1.1124166756E+00,  5.1958457313E-01,  2.999
  2.0000000000E-01,  1.1175570505E+00,  5.0823675801E-01, -4.258
  2.1000000000E-01,  1.1225814107E+00,  4.9638737456E-01, -8.714
  2.2000000000E-01,  1.1274847979E+00,  4.8404811671E-01, -1.306
  2.3000000000E-01,  1.1322623731E+00,  4.7123116180E-01, -1.730
  2.4000000000E-01,  1.1369094212E+00,  4.5794915863E-01, -2.142
  2.5000000000E-01,  1.1414213562E+00,  4.4421521493E-01, -2.542
  2.6000000000E-01,  1.1457937255E+00,  4.3004288444E-01, -2.930
  2.7000000000E-01,  1.1500222139E+00,  4.1544615354E-01, -3.305
  2.8000000000E-01,  1.1541026486E+00,  4.0043942745E-01, -3.667
