iter,energy
     0,  6.2665703732E-01
     1,  6.2665700599E-01
     2,  6.2665697466E-01
     3,  6.2665694333E-01
     4,  6.2665691199E-01
     5,  6.2665688066E-01
     6,  6.2665684933E-01
     7,  6.2665681800E-01
     8,  6.2665678666E-01
     9,  6.2665675533E-01
    10,  6.2665672400E-01
    11,  6.2665669266E-01
    12,  6.2665666133E-01
    13,  6.2665663000E-01
    14,  6.2665659867E-01
    15,  6.2665656733E-01
    16,  6.2665653600E-01
    17,  6.2665650467E-01
    18,  6.2665647334E-01
    19,  6.2665644200E-01
    20,  6.2665641067E-01
    21,  6.2665637934E-01
    22,  6.2665634801E-01
    23,  6.2665631667E-01
    24,  6.2665628534E-01
    25,  6.2665625401E-01
    26,  6.2665622268E-01
    27,  6.2665619134E-01
    28,  6.2665616001E-01
    29,  6.2665612868E-01
    30,  6.2665609735E-01
    31,  6.2665606602E-01
    32,  6.2665603468E-01
    33,  6.2665600335E-01
    34,  6.2665597202E-01
    35,  6.2665594069E-01
    36,  6.2665590935E-01
    37,  6.2665587802E-01
    38,  6.2665584669E-01
    39,  6.2665581536E-01
    40,  6.2665578403E-01
    41,  6.2665575269E-01
    42,  6.2665572136E-01
    43,  6.2665569003E-01
    44,  6.2665565870E-01
    45,  6.2665562736E-01
    46,  6.2665559603E-01
    47,  6.2665556470E-01
    48,  6.2665553337E-01
    49,  6.2665550204E-01
    50,  6.2665547070E-01
    51,  6.2665543937E-01
    52,  6.2665540804E-01
    53,  6.2665537671E-01
    54,  6.2665534538E-01
    55,  6.2665531404E-01
    56,  6.2665528271E-01
    57,  6.2665525138E-01
    58,  6.2665522005E-01
    59,  6.2665518872E-01
    60,  6.2665515739E-01
    61,  6.2665512605E-01
    62,  6.2665509472E-01
    63,  6.2665506339E-01
    64,  6.2665503206E-01
    65,  6.2665500073E-01
    66,  6.2665496939E-01
    67,  6.2665493806E-01
    68,  6.2665490673E-01
    69,  6.2665487540E-01
    70,  6.2665484407E-01
    71,  6.2665481274E-01
    72,  6.2665478141E-01
    73,  6.2665475007E-01
    74,  6.2665471874E-01
    75,  6.2665468741E-01
    76,  6.2665465608E-01
    77,  6.2665462475E-01
    78,  6.2665459342E-01
    79,  6.2665456208E-01
    80,  6.2665453075E-01
    81,  6.2665449942E-01
    82,  6.2665446809E-01
    83,  6.2665443676E-01
    84,  6.2665440543E-01
    85,  6.2665437410E-01
    86,  6.2665434276E-01
    87,  6.2665431143E-01
    88,  6.2665428010E-01
    89,  6.2665424877E-01
    90,  6.2665421744E-01
    91,  6.2665418611E-01
    92,  6.2665415478E-01
    93,  6.2665412345E-01
    94,  6.2665409211E-01
    95,  6.2665406078E-01
    96,  6.2665402945E-01
    97,  6.2665399812E-01
    98,  6.2665396679E-01
    99,  6.2665393546E-01
   100,  6.2665390413E-01
   101,  6.2665387280E-01
   102,  6.2665384146E-01
   103,  6.2665381013E-01
   104,  6.2665377880E-01
   105,  6.2665374747E-01
   106,  6.2665371614E-01
   107,  6.2665368481E-01
   108,  6.2665365348E-01
   109,  6.2665362215E-01
   110,  6.2665359082E-01
   111,  6.2665355949E-01
   112,  6.2665352815E-01
