t,x_forwardRiemann,x_trap,diff_trap_forward
  0.00000000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.02500000,  2.5638354784E-02,  2.5313818648E-02,  3.2453613651E-04
  0.05000000,  5.1886018674E-02,  5.1221418227E-02,  6.6460044707E-04
  0.07500000,  7.8711342086E-02,  7.7691556997E-02,  1.0197850882E-03
  0.10000000,  1.0608268611E-01,  1.0469301322E-01,  1.3896728818E-03
  0.12500000,  1.3396843321E-01,  1.3219459552E-01,  1.7738376878E-03
  0.15000000,  1.6233699816E-01,  1.6016515338E-01,  2.1718447769E-03
  0.17500000,  1.9115683916E-01,  1.8857358795E-01,  2.5832512032E-03
  0.20000000,  2.2039646910E-01,  2.1738886292E-01,  3.0076061770E-03
  0.22500000,  2.5002446707E-01,  2.4658001564E-01,  3.4444514372E-03
  0.25000000,  2.8000948998E-01,  2.7611616835E-01,  3.8933216237E-03
  0.27500000,  3.1032028429E-01,  3.0596653964E-01,  4.3537446503E-03
  0.30000000,  3.4092569798E-01,  3.3610045590E-01,  4.8252420761E-03
  0.32500000,  3.7179469255E-01,  3.6648736307E-01,  5.3073294779E-03
  0.35000000,  4.0289635515E-01,  3.9709683833E-01,  5.7995168213E-03
  0.37500000,  4.3419991085E-01,  4.2789860202E-01,  6.3013088319E-03
  0.40000000,  4.6567473494E-01,  4.5886252958E-01,  6.8122053659E-03
  0.42500000,  4.9729036536E-01,  4.8995866358E-01,  7.3317017798E-03
  0.45000000,  5.2901651511E-01,  5.2115722581E-01,  7.8592892999E-03
  0.47500000,  5.6082308483E-01,  5.5242862944E-01,  8.3944553907E-03
  0.50000000,  5.9268017531E-01,  5.8374349118E-01,  8.9366841224E-03
  0.52500000,  6.2455810007E-01,  6.1507264353E-01,  9.4854565376E-03
  0.55000000,  6.5642739799E-01,  6.4638714697E-01,  1.0040251017E-02
  0.57500000,  6.8825884587E-01,  6.7765830223E-01,  1.0600543643E-02
  0.60000000,  7.2002347107E-01,  7.0885766251E-01,  1.1165808564E-02
  0.62500000,  7.5169256404E-01,  7.3995704569E-01,  1.1735518355E-02
  0.65000000,  7.8323769089E-01,  7.7092854651E-01,  1.2309144377E-02
  0.67500000,  8.1463070588E-01,  8.0174454874E-01,  1.2886157140E-02
  0.70000000,  8.4584376391E-01,  8.3237773726E-01,  1.3466026651E-02
  0.72500000,  8.7684933286E-01,  8.6280111008E-01,  1.4048222777E-02
  0.75000000,  9.0762020595E-01,  8.9298799036E-01,  1.4632215594E-02
  0.77500000,  9.3812951395E-01,  9.2291203822E-01,  1.5217475738E-02
  0.80000000,  9.6835073733E-01,  9.5254726258E-01,  1.5803474753E-02
  0.82500000,  9.9825771828E-01,  9.8186803285E-01,  1.6389685436E-02
  0.85000000,  1.0278246726E+00,  1.0108490905E+00,  1.6975582182E-02
  0.87500000,  1.0570262017E+00,  1.0394655604E+00,  1.7560641325E-02
  0.90000000,  1.0858373038E+00,  1.0676929624E+00,  1.8144341473E-02
  0.92500000,  1.1142333860E+00,  1.0955072222E+00,  1.8726163845E-02
  0.95000000,  1.1421902753E+00,  1.1228846827E+00,  1.9305592599E-02
  0.97500000,  1.1696842296E+00,  1.1498021145E+00,  1.9882115166E-02
  1.00000000,  1.1966919494E+00,  1.1762367268E+00,  2.0455222572E-02
  1.02500000,  1.2231905879E+00,  1.2021661781E+00,  2.1024409756E-02
  1.05000000,  1.2491577620E+00,  1.2275685862E+00,  2.1589175895E-02
  1.07500000,  1.2745715629E+00,  1.2524225382E+00,  2.2149024711E-02
  1.10000000,  1.2994105659E+00,  1.2767071011E+00,  2.2703464784E-02
  1.12500000,  1.3236538407E+00,  1.3004018308E+00,  2.3252009860E-02
  1.15000000,  1.3472809611E+00,  1.3234867820E+00,  2.3794179146E-02
  1.17500000,  1.3702720147E+00,  1.3459425171E+00,  2.4329497616E-02
  1.20000000,  1.3926076120E+00,  1.3677501157E+00,  2.4857496295E-02
  1.22500000,  1.4142688955E+00,  1.3888911830E+00,  2.5377712553E-02
  1.25000000,  1.4352375487E+00,  1.4093478583E+00,  2.5889690387E-02
  1.27500000,  1.4554958043E+00,  1.4291028236E+00,  2.6392980697E-02
  1.30000000,  1.4750264527E+00,  1.4481393112E+00,  2.6887141563E-02
  1.32500000,  1.4938128501E+00,  1.4664411116E+00,  2.7371738509E-02
  1.35000000,  1.5118389258E+00,  1.4839925811E+00,  2.7846344768E-02
  1.37500000,  1.5290891900E+00,  1.5007786485E+00,  2.8310541542E-02
  1.40000000,  1.5455487406E+00,  1.5167848223E+00,  2.8763918248E-02
  1.42500000,  1.5612032702E+00,  1.5319971975E+00,  2.9206072768E-02
  1.45000000,  1.5760390727E+00,  1.5464024610E+00,  2.9636611690E-02
  1.47500000,  1.5900430490E+00,  1.5599878984E+00,  3.0055150538E-02
  1.50000000,  1.6032027134E+00,  1.5727413994E+00,  3.0461314006E-02
  1.52500000,  1.6155061988E+00,  1.5846514626E+00,  3.0854736176E-02
  1.55000000,  1.6269422621E+00,  1.5957072014E+00,  3.1235060736E-02
  1.57500000,  1.6375002888E+00,  1.6058983476E+00,  3.1601941188E-02
  1.60000000,  1.6471702979E+00,  1.6152152568E+00,  3.1955041053E-02
  1.62500000,  1.6559429455E+00,  1.6236489114E+00,  3.2294034066E-02
  1.65000000,  1.6638095293E+00,  1.6311909250E+00,  3.2618604365E-02
  1.67500000,  1.6707619917E+00,  1.6378335450E+00,  3.2928446678E-02
  1.70000000,  1.6767929229E+00,  1.6435696564E+00,  3.3223266495E-02
  1.72500000,  1.6818955637E+00,  1.6483927834E+00,  3.3502780237E-02
  1.75000000,  1.6860638081E+00,  1.6522970926E+00,  3.3766715423E-02
  1.77500000,  1.6892922050E+00,  1.6552773942E+00,  3.4014810821E-02
  1.80000000,  1.6915759604E+00,  1.6573291438E+00,  3.4246816595E-02
  1.82500000,  1.6929109379E+00,  1.6584484434E+00,  3.4462494450E-02
  1.85000000,  1.6932936604E+00,  1.6586320427E+00,  3.4661617759E-02
  1.87500000,  1.6927213104E+00,  1.6578773387E+00,  3.4843971697E-02
  1.90000000,  1.6911917299E+00,  1.6561823765E+00,  3.5009353350E-02
  1.92500000,  1.6887034206E+00,  1.6535458488E+00,  3.5157571834E-02
  1.95000000,  1.6852555434E+00,  1.6499670950E+00,  3.5288448393E-02
  1.97500000,  1.6808479169E+00,  1.6454461004E+00,  3.5401816497E-02
  2.00000000,  1.6754810168E+00,  1.6399834949E+00,  3.5497521927E-02
  2.02500000,  1.6691559736E+00,  1.6335805508E+00,  3.5575422860E-02
  2.05000000,  1.6618745711E+00,  1.6262391812E+00,  3.5635389936E-02
  2.07500000,  1.6536392434E+00,  1.6179619371E+00,  3.5677306328E-02
  2.10000000,  1.6444530726E+00,  1.6087520048E+00,  3.5701067793E-02
  2.12500000,  1.6343197853E+00,  1.5986132026E+00,  3.5706582724E-02
  2.15000000,  1.6232437490E+00,  1.5875499768E+00,  3.5693772192E-02
  2.17500000,  1.6112299686E+00,  1.5755673986E+00,  3.5662569977E-02
  2.20000000,  1.5982840814E+00,  1.5626711588E+00,  3.5612922593E-02
  2.22500000,  1.5844123533E+00,  1.5488675640E+00,  3.5544789307E-02
  2.25000000,  1.5696216730E+00,  1.5341635309E+00,  3.5458142147E-02
  2.27500000,  1.5539195470E+00,  1.5185665811E+00,  3.5352965902E-02
  2.30000000,  1.5373140938E+00,  1.5020848357E+00,  3.5229258121E-02
  2.32500000,  1.5198140378E+00,  1.4847270087E+00,  3.5087029092E-02
  2.35000000,  1.5014287027E+00,  1.4665024009E+00,  3.4926301822E-02
  2.37500000,  1.4821680050E+00,  1.4474208930E+00,  3.4747112009E-02
  2.40000000,  1.4620424464E+00,  1.4274929384E+00,  3.4549508001E-02
  2.42500000,  1.4410631067E+00,  1.4067295559E+00,  3.4333550752E-02
  2.45000000,  1.4192416357E+00,  1.3851423220E+00,  3.4099313768E-02
  2.47500000,  1.3965902454E+00,  1.3627433623E+00,  3.3846883045E-02
  2.50000000,  1.3731217009E+00,  1.3395453439E+00,  3.3576356999E-02
  2.52500000,  1.3488493120E+00,  1.3155614656E+00,  3.3287846394E-02
  2.55000000,  1.3237869242E+00,  1.2908054499E+00,  3.2981474250E-02
  2.57500000,  1.2979489087E+00,  1.2652915329E+00,  3.2657375760E-02
  2.60000000,  1.2713501531E+00,  1.2390344549E+00,  3.2315698182E-02
  2.62500000,  1.2440060511E+00,  1.2120494503E+00,  3.1956600738E-02
  2.65000000,  1.2159324922E+00,  1.1843522377E+00,  3.1580254500E-02
  2.67500000,  1.1871458512E+00,  1.1559590090E+00,  3.1186842263E-02
  2.70000000,  1.1576629769E+00,  1.1268864184E+00,  3.0776558423E-02
  2.72500000,  1.1275011809E+00,  1.0971515721E+00,  3.0349608838E-02
  2.75000000,  1.0966782268E+00,  1.0667720161E+00,  2.9906210686E-02
  2.77500000,  1.0652123173E+00,  1.0357657250E+00,  2.9446592314E-02
  2.80000000,  1.0331220833E+00,  1.0041510902E+00,  2.8970993083E-02
  2.82500000,  1.0004265706E+00,  9.7194690739E-01,  2.8479663204E-02
  2.85000000,  9.6714522829E-01,  9.3917236472E-01,  2.7972863571E-02
  2.87500000,  9.3329789543E-01,  9.0584702985E-01,  2.7450865579E-02
  2.90000000,  8.9890478822E-01,  8.7199083728E-01,  2.6913950945E-02
  2.92500000,  8.6398648684E-01,  8.3762407532E-01,  2.6362411519E-02
  2.95000000,  8.2856392195E-01,  8.0276737286E-01,  2.5796549087E-02
  2.97500000,  7.9265836115E-01,  7.6744168598E-01,  2.5216675170E-02
  3.00000000,  7.5629139510E-01,  7.3166828428E-01,  2.4623110817E-02
  3.02500000,  7.1948492351E-01,  6.9546873712E-01,  2.4016186394E-02
  3.05000000,  6.8226114100E-01,  6.5886489964E-01,  2.3396241360E-02
  3.07500000,  6.4464252266E-01,  6.2187889861E-01,  2.2763624046E-02
  3.10000000,  6.0665180959E-01,  5.8453311817E-01,  2.2118691429E-02
  3.12500000,  5.6831199420E-01,  5.4685018531E-01,  2.1461808887E-02
  3.15000000,  5.2964630535E-01,  5.0885295538E-01,  2.0793349969E-02
  3.17500000,  4.9067819343E-01,  4.7056449728E-01,  2.0113696146E-02
  3.20000000,  4.5143131525E-01,  4.3200807869E-01,  1.9423236558E-02
