t,x,u
  0.0000,   -1.000000,  6.9288471183E-31
  0.0000,   -0.990000,  2.7595090675E-30
  0.0000,   -0.980000,  1.0838540485E-29
  0.0000,   -0.970000,  4.1983429807E-29
  0.0000,   -0.960000,  1.6038108905E-28
  0.0000,   -0.950000,  6.0422199918E-28
  0.0000,   -0.940000,  2.2449570727E-27
  0.0000,   -0.930000,  8.2259805951E-27
  0.0000,   -0.920000,  2.9725930124E-26
  0.0000,   -0.910000,  1.0593789926E-25
  0.0000,   -0.900000,  3.7233631218E-25
  0.0000,   -0.890000,  1.2905878179E-24
  0.0000,   -0.880000,  4.4117191970E-24
  0.0000,   -0.870000,  1.4872921817E-23
  0.0000,   -0.860000,  4.9448470173E-23
  0.0000,   -0.850000,  1.6213529172E-22
  0.0000,   -0.840000,  5.2428856634E-22
  0.0000,   -0.830000,  1.6719810404E-21
  0.0000,   -0.820000,  5.2584826125E-21
  0.0000,   -0.810000,  1.6310139227E-20
  0.0000,   -0.800000,  4.9891093928E-20
  0.0000,   -0.790000,  1.5050693684E-19
  0.0000,   -0.780000,  4.4777324417E-19
  0.0000,   -0.770000,  1.3137958764E-18
  0.0000,   -0.760000,  3.8015944194E-18
  0.0000,   -0.750000,  1.0848552640E-17
  0.0000,   -0.740000,  3.0531346078E-17
  0.0000,   -0.730000,  8.4739956295E-17
  0.0000,   -0.720000,  2.3195228302E-16
  0.0000,   -0.710000,  6.2614829089E-16
  0.0000,   -0.700000,  1.6669550139E-15
  0.0000,   -0.690000,  4.3766185029E-15
  0.0000,   -0.680000,  1.1332393248E-14
  0.0000,   -0.670000,  2.8938279933E-14
  0.0000,   -0.660000,  7.2877240958E-14
  0.0000,   -0.650000,  1.8100028704E-13
  0.0000,   -0.640000,  4.4333777463E-13
  0.0000,   -0.630000,  1.0709232383E-12
  0.0000,   -0.620000,  2.5512327443E-12
  0.0000,   -0.610000,  5.9939063101E-12
  0.0000,   -0.600000,  1.3887943865E-11
  0.0000,   -0.590000,  3.1734677322E-11
  0.0000,   -0.580000,  7.1515199306E-11
  0.0000,   -0.570000,  1.5893910095E-10
  0.0000,   -0.560000,  3.4836240729E-10
  0.0000,   -0.550000,  7.5300861714E-10
  0.0000,   -0.540000,  1.6052280552E-09
  0.0000,   -0.530000,  3.3747504893E-09
  0.0000,   -0.520000,  6.9970459943E-09
  0.0000,   -0.510000,  1.4307241919E-08
  0.0000,   -0.500000,  2.8851290572E-08
  0.0000,   -0.490000,  5.7377642607E-08
  0.0000,   -0.480000,  1.1253517472E-07
  0.0000,   -0.470000,  2.1767172063E-07
  0.0000,   -0.460000,  4.1522535316E-07
  0.0000,   -0.450000,  7.8114894083E-07
  0.0000,   -0.440000,  1.4492788871E-06
  0.0000,   -0.430000,  2.6517844220E-06
  0.0000,   -0.420000,  4.7851173921E-06
  0.0000,   -0.410000,  8.5155972012E-06
  0.0000,   -0.400000,  1.4945338525E-05
  0.0000,   -0.390000,  2.5868100223E-05
  0.0000,   -0.380000,  4.4156174948E-05
  0.0000,   -0.370000,  7.4333826219E-05
  0.0000,   -0.360000,  1.2340980409E-04
  0.0000,   -0.350000,  2.0206028905E-04
  0.0000,   -0.340000,  3.2627245380E-04
  0.0000,   -0.330000,  5.1957468215E-04
  0.0000,   -0.320000,  8.1598783507E-04
  0.0000,   -0.310000,  1.2638266823E-03
  0.0000,   -0.300000,  1.9304541362E-03
  0.0000,   -0.290000,  2.9080347262E-03
  0.0000,   -0.280000,  4.3202394741E-03
  0.0000,   -0.270000,  6.3297154275E-03
  0.0000,   -0.260000,  9.1459470384E-03
  0.0000,   -0.250000,  1.3032907449E-02
  0.0000,   -0.240000,  1.8315638889E-02
  0.0000,   -0.230000,  2.5384637491E-02
  0.0000,   -0.220000,  3.4696685646E-02
  0.0000,   -0.210000,  4.6770622384E-02
  0.0000,   -0.200000,  6.2176524022E-02
  0.0000,   -0.190000,  8.1516938625E-02
  0.0000,   -0.180000,  1.0539922456E-01
  0.0000,   -0.170000,  1.3439871063E-01
  0.0000,   -0.160000,  1.6901331541E-01
  0.0000,   -0.150000,  2.0961138715E-01
  0.0000,   -0.140000,  2.5637575669E-01
  0.0000,   -0.130000,  3.0924819293E-01
  0.0000,   -0.120000,  3.6787944117E-01
  0.0000,   -0.110000,  4.3159062049E-01
  0.0000,   -0.100000,  4.9935178860E-01
  0.0000,   -0.090000,  5.6978282473E-01
  0.0000,   -0.080000,  6.4118038843E-01
  0.0000,   -0.070000,  7.1157263624E-01
  0.0000,   -0.060000,  7.7880078307E-01
  0.0000,   -0.050000,  8.4062374333E-01
  0.0000,   -0.040000,  8.9483931681E-01
  0.0000,   -0.030000,  9.3941306281E-01
  0.0000,   -0.020000,  9.7260447712E-01
  0.0000,   -0.010000,  9.9307961249E-01
  0.0000,    0.000000,  1.0000000000E+00
  0.0000,    0.010000,  9.9307961249E-01
  0.0000,    0.020000,  9.7260447712E-01
  0.0000,    0.030000,  9.3941306281E-01
  0.0000,    0.040000,  8.9483931681E-01
  0.0000,    0.050000,  8.4062374333E-01
  0.0000,    0.060000,  7.7880078307E-01
  0.0000,    0.070000,  7.1157263624E-01
  0.0000,    0.080000,  6.4118038843E-01
  0.0000,    0.090000,  5.6978282473E-01
  0.0000,    0.100000,  4.9935178860E-01
  0.0000,    0.110000,  4.3159062049E-01
  0.0000,    0.120000,  3.6787944117E-01
  0.0000,    0.130000,  3.0924819293E-01
  0.0000,    0.140000,  2.5637575669E-01
  0.0000,    0.150000,  2.0961138715E-01
  0.0000,    0.160000,  1.6901331541E-01
  0.0000,    0.170000,  1.3439871063E-01
  0.0000,    0.180000,  1.0539922456E-01
  0.0000,    0.190000,  8.1516938625E-02
  0.0000,    0.200000,  6.2176524022E-02
  0.0000,    0.210000,  4.6770622384E-02
  0.0000,    0.220000,  3.4696685646E-02
  0.0000,    0.230000,  2.5384637491E-02
  0.0000,    0.240000,  1.8315638889E-02
  0.0000,    0.250000,  1.3032907449E-02
  0.0000,    0.260000,  9.1459470384E-03
  0.0000,    0.270000,  6.3297154275E-03
  0.0000,    0.280000,  4.3202394741E-03
  0.0000,    0.290000,  2.9080347262E-03
  0.0000,    0.300000,  1.9304541362E-03
  0.0000,    0.310000,  1.2638266823E-03
  0.0000,    0.320000,  8.1598783507E-04
  0.0000,    0.330000,  5.1957468215E-04
  0.0000,    0.340000,  3.2627245380E-04
  0.0000,    0.350000,  2.0206028905E-04
  0.0000,    0.360000,  1.2340980409E-04
  0.0000,    0.370000,  7.4333826219E-05
  0.0000,    0.380000,  4.4156174948E-05
  0.0000,    0.390000,  2.5868100223E-05
  0.0000,    0.400000,  1.4945338525E-05
  0.0000,    0.410000,  8.5155972012E-06
  0.0000,    0.420000,  4.7851173921E-06
  0.0000,    0.430000,  2.6517844220E-06
  0.0000,    0.440000,  1.4492788871E-06
  0.0000,    0.450000,  7.8114894083E-07
  0.0000,    0.460000,  4.1522535316E-07
  0.0000,    0.470000,  2.1767172063E-07
  0.0000,    0.480000,  1.1253517472E-07
  0.0000,    0.490000,  5.7377642607E-08
  0.0000,    0.500000,  2.8851290572E-08
  0.0000,    0.510000,  1.4307241919E-08
  0.0000,    0.520000,  6.9970459943E-09
  0.0000,    0.530000,  3.3747504893E-09
  0.0000,    0.540000,  1.6052280552E-09
  0.0000,    0.550000,  7.5300861714E-10
  0.0000,    0.560000,  3.4836240729E-10
  0.0000,    0.570000,  1.5893910095E-10
  0.0000,    0.580000,  7.1515199306E-11
  0.0000,    0.590000,  3.1734677322E-11
  0.0000,    0.600000,  1.3887943865E-11
  0.0000,    0.610000,  5.9939063101E-12
  0.0000,    0.620000,  2.5512327443E-12
  0.0000,    0.630000,  1.0709232383E-12
  0.0000,    0.640000,  4.4333777463E-13
  0.0000,    0.650000,  1.8100028704E-13
  0.0000,    0.660000,  7.2877240958E-14
  0.0000,    0.670000,  2.8938279933E-14
  0.0000,    0.680000,  1.1332393248E-14
  0.0000,    0.690000,  4.3766185029E-15
  0.0000,    0.700000,  1.6669550139E-15
  0.0000,    0.710000,  6.2614829089E-16
  0.0000,    0.720000,  2.3195228302E-16
  0.0000,    0.730000,  8.4739956295E-17
  0.0000,    0.740000,  3.0531346078E-17
  0.0000,    0.750000,  1.0848552640E-17
  0.0000,    0.760000,  3.8015944194E-18
  0.0000,    0.770000,  1.3137958764E-18
  0.0000,    0.780000,  4.4777324417E-19
  0.0000,    0.790000,  1.5050693684E-19
  0.0000,    0.800000,  4.9891093928E-20
  0.0000,    0.810000,  1.6310139227E-20
  0.0000,    0.820000,  5.2584826125E-21
  0.0000,    0.830000,  1.6719810404E-21
  0.0000,    0.840000,  5.2428856634E-22
  0.0000,    0.850000,  1.6213529172E-22
  0.0000,    0.860000,  4.9448470173E-23
  0.0000,    0.870000,  1.4872921817E-23
  0.0000,    0.880000,  4.4117191970E-24
  0.0000,    0.890000,  1.2905878179E-24
  0.0000,    0.900000,  3.7233631218E-25
  0.0000,    0.910000,  1.0593789926E-25
  0.0000,    0.920000,  2.9725930124E-26
  0.0000,    0.930000,  8.2259805951E-27
  0.0000,    0.940000,  2.2449570727E-27
  0.0000,    0.950000,  6.0422199918E-28
  0.0000,    0.960000,  1.6038108905E-28
  0.0000,    0.970000,  4.1983429807E-29
  0.0000,    0.980000,  1.0838540485E-29
  0.0000,    0.990000,  2.7595090675E-30
  0.0000,    1.000000,  6.9288471183E-31
  0.2700,   -1.000000,  0.0000000000E+00
  0.2700,   -0.990000,  2.1157937279E-19
  0.2700,   -0.980000,  2.9107366563E-18
  0.2700,   -0.970000,  2.6237561899E-17
  0.2700,   -0.960000,  1.7766998465E-16
  0.2700,   -0.950000,  9.7010970763E-16
  0.2700,   -0.940000,  4.4630429439E-15
  0.2700,   -0.930000,  1.7830409683E-14
  0.2700,   -0.920000,  6.3256356856E-14
  0.2700,   -0.910000,  2.0279194708E-13
  0.2700,   -0.900000,  5.9601193718E-13
  0.2700,   -0.890000,  1.6259800664E-12
  0.2700,   -0.880000,  4.1638941348E-12
  0.2700,   -0.870000,  1.0115342295E-11
  0.2700,   -0.860000,  2.3551040914E-11
  0.2700,   -0.850000,  5.3095162504E-11
  0.2700,   -0.840000,  1.1713783556E-10
  0.2700,   -0.830000,  2.5451278844E-10
  0.2700,   -0.820000,  5.4528114511E-10
  0.2700,   -0.810000,  1.1522072290E-09
  0.2700,   -0.800000,  2.4013672985E-09
  0.2700,   -0.790000,  4.9363651303E-09
  0.2700,   -0.780000,  1.0008670367E-08
  0.2700,   -0.770000,  2.0015436076E-08
  0.2700,   -0.760000,  3.9479558709E-08
  0.2700,   -0.750000,  7.6806336125E-08
  0.2700,   -0.740000,  1.4737990594E-07
  0.2700,   -0.730000,  2.7892978540E-07
  0.2700,   -0.720000,  5.2067390011E-07
  0.2700,   -0.710000,  9.5862756234E-07
  0.2700,   -0.700000,  1.7407887685E-06
  0.2700,   -0.690000,  3.1178352176E-06
  0.2700,   -0.680000,  5.5076964850E-06
  0.2700,   -0.670000,  9.5961145601E-06
  0.2700,   -0.660000,  1.6490288027E-05
  0.2700,   -0.650000,  2.7949062501E-05
  0.2700,   -0.640000,  4.6720901394E-05
  0.2700,   -0.630000,  7.7029824674E-05
  0.2700,   -0.620000,  1.2525904099E-04
