mean,var,N,maxlag
  1.2106598798E-02,  9.8859591019E-01,4096,512
index,wn_sample
1, -1.8394225133E+00
2,  5.6347421909E-01
3,  3.4928356109E-01
4,  6.2959551161E-01
5, -1.2998347177E+00
6,  4.0704048225E-01
7,  5.5365324501E-01
8,  1.4088013582E-01
9,  1.0127130028E+00
10, -5.2344633451E-01
11, -1.0913215933E+00
12,  2.0115510460E+00
13,  3.1122341742E-01
14,  2.9340512944E-01
15,  7.3984880422E-01
16,  4.6399914588E-01
17,  2.2227971277E-01
18, -2.3120389591E-01
19, -1.5313504166E+00
20, -8.2485076910E-01
21, -5.1919136508E-01
22, -7.1803950814E-01
23,  5.5103856917E-01
24,  6.8179201912E-02
25, -2.2334139097E+00
26, -1.1695432207E+00
27,  1.0332353749E+00
28,  1.0998593331E-01
29,  7.0136700247E-01
30, -7.7667240171E-01
31, -1.0277100144E+00
32, -2.0375431384E+00
33, -2.1355347998E+00
34,  2.5147314705E-01
35,  3.6010381652E-01
36, -7.7255141620E-02
37,  2.3993052330E+00
38,  2.3435628251E-01
39, -1.9415108371E+00
40,  1.5919672231E-01
41, -1.1686312981E+00
42,  5.5082551974E-01
43, -5.1275883750E-01
44,  1.5894140798E-01
45,  3.0201111749E-01
46, -7.1213566691E-01
47,  1.5245843581E+00
48, -1.8267843743E-01
49, -4.1313227660E-02
50,  6.8935680812E-02
51,  1.5925028733E+00
52,  2.1006327017E-01
53,  2.3771240336E-01
54, -1.1226801435E+00
55, -5.1185079510E-01
56,  9.8702261832E-01
57,  1.7296104611E-01
58,  3.0619590472E-01
59,  2.2940205943E-01
60, -1.0570856459E-01
61, -4.7843342670E-01
62, -1.1618413179E+00
63, -1.9478219926E+00
64,  1.2155756139E+00
65,  5.6504044505E-01
66,  9.2612064945E-01
67, -2.5506693266E+00
68,  2.9694648866E-01
69, -5.1056022932E-01
70,  1.6311979763E+00
71, -3.2607422961E-01
72, -4.6800782987E-01
73, -6.2101457825E-01
74,  1.4760834401E-01
75,  1.4718892691E+00
76, -6.4304416924E-01
77, -2.9577195806E-01
78, -9.7498267558E-01
79,  1.2703260124E+00
80,  3.4801401667E-01
81, -6.4503820946E-01
82, -2.3631984411E+00
83, -7.6287271190E-01
84,  8.1051541143E-01
85, -1.1453022917E-01
86,  2.0492117744E+00
87,  1.1330800031E+00
88,  1.4415491229E-01
89,  2.8484399428E-01
90,  1.7803005043E+00
91,  1.9395190309E+00
92, -3.2427487683E-01
93, -2.2027013335E+00
94,  1.1335674786E+00
95,  7.9402015575E-01
96, -1.0584315109E-01
97,  1.0314079016E+00
98,  3.6630571365E-01
99, -1.6004809095E-01
100,  9.6229857097E-01
101, -4.3081685053E-01
102,  8.0529260562E-01
103,  3.7090870090E-01
104,  7.0521651021E-01
105, -8.6307905702E-01
106,  1.2937140433E+00
107, -3.6239293085E-01
108, -3.7938558584E-01
109, -1.3115844304E+00
110, -1.1522296788E+00
111, -1.3889658505E+00
112,  7.9826338855E-01
113,  6.1915009003E-01
114, -1.2005054846E+00
115,  6.9508696623E-01
116, -2.7408424837E-02
117, -9.5793563759E-01
118, -1.2734186957E+00
119, -4.5150466826E-01
120,  5.8176140715E-01
121,  5.6807445403E-01
122, -5.8727017422E-01
123,  1.7184197076E+00
124,  1.2203851066E+00
125, -7.4354772357E-01
126, -6.5528316102E-01
127, -9.2780076667E-01
128,  2.1233805127E-02
129, -2.0589939320E-01
130, -1.4098859051E+00
131,  1.5110590455E+00
132, -4.0633961450E-03
133,  6.1710261683E-02
134, -1.5667384005E-01
135, -1.0508565673E-01
136, -7.6840129808E-01
137, -6.3406237022E-01
138,  5.6653128914E-01
139, -7.1542830664E-01
140, -1.1034204445E-01
141, -1.4716549638E+00
142, -3.1123831705E-01
143,  5.2866605629E-01
144, -3.1204795749E-01
145, -7.2216810314E-01
146, -1.1292470577E+00
147,  6.9696381974E-01
148,  1.7714965401E-01
149,  2.8712498046E-01
150,  2.7047225048E-01
151,  3.0713435117E-01
152,  3.5495665893E-01
153, -4.0072592980E-01
154,  1.1564562466E-01
155,  1.2237724754E+00
156, -8.5580706724E-01
157, -6.6226623286E-01
158,  7.8617436097E-01
159,  5.4372467889E-01
160, -4.3330626043E-01
161,  6.3686982840E-01
162, -4.6730383727E-01
163,  6.2266362063E-02
164, -3.1050936119E-01
165, -7.0877795719E-01
166,  2.9214205455E-01
167,  6.6499769905E-01
168,  1.9344891130E-01
169,  9.6625345751E-02
170,  8.7466138924E-01
171, -1.6844110094E+00
172, -1.3012995975E+00
173,  4.1725339391E-01
174,  1.0647260829E-02
175,  5.8691760563E-01
176, -4.6678009124E-01
177, -6.7260340052E-01
178,  1.2430113809E+00
179, -1.3095344979E-01
180,  4.6529116969E-01
181, -5.9494626903E-01
182,  7.1924905932E-02
183,  1.2359923780E+00
184, -8.7582211801E-01
185, -5.2876928494E-01
186,  5.4267436353E-01
187, -7.3098923856E-01
188,  1.9967198049E-01
189,  6.6134045907E-01
190,  1.4201159511E-01
191, -7.6260313114E-01
192,  6.2336772609E-01
193, -1.1955647654E-02
194, -2.9295390149E-01
195,  6.7515277138E-01
196,  3.5756779418E-01
197, -3.5622934852E-02
198,  1.6251467360E+00
199, -2.5147682274E+00
200,  1.9869888832E-01
201,  3.9023134037E-01
202,  1.1039274824E+00
203, -1.3240322257E+00
204, -9.2855087441E-01
205,  1.3189923953E+00
206, -1.1432326579E+00
207, -6.2311119743E-01
208,  5.3562216724E-01
209,  4.8105376601E-01
210,  2.1574750359E+00
211,  8.4470655663E-01
212, -1.3550568465E+00
213, -6.9099734668E-01
214,  1.2595904213E+00
215, -1.0485236260E+00
216,  1.1255868547E-01
217, -4.7775830453E-01
218,  1.4606939264E+00
219,  2.2886476016E+00
220,  5.5171662645E-01
221, -5.2419755620E-01
222,  9.3132976814E-02
223, -1.5554954822E+00
224,  2.9965216862E-01
225,  7.5548680275E-01
226,  2.1989633460E+00
227,  1.6483908991E+00
228,  7.5406219968E-01
229,  1.1938222221E+00
230,  4.0681229241E-01
231,  3.0777970983E-01
232,  1.2254800907E+00
233,  1.0943563100E+00
234,  1.0868845032E-01
235, -2.9842190732E-01
236, -8.7879381956E-01
237, -7.2990817023E-01
238,  1.5255734697E+00
239,  1.6448210813E+00
240, -2.7296445850E-01
241, -1.9280879585E+00
242,  1.2917297366E+00
243, -6.6424555285E-01
244, -6.0438578501E-01
245, -1.0526169113E+00
246, -1.4727928811E+00
247, -1.5563910432E+00
248, -2.2397709951E-01
249, -1.1686425160E-01
250, -1.0942569910E+00
251,  1.4063958800E-01
252, -1.4116006368E+00
253, -3.1574046426E-01
254, -7.9850556934E-01
255, -5.1502380534E-01
256,  5.1035366869E-01
257,  6.0699777157E-01
258,  1.2355079448E+00
259,  1.4509327598E-01
260, -1.2922893912E+00
261,  2.6430410862E-01
262,  5.2783447453E-01
263,  1.1443956638E+00
264, -1.3460724283E+00
265, -5.3158589452E-01
266, -8.4029679068E-01
267,  6.2407606210E-01
268,  5.3309352501E-01
269, -1.1497748347E+00
270, -1.2611189659E+00
271, -9.4099641480E-01
272,  1.1543485665E+00
273,  2.9991502164E-01
274, -7.1363991566E-01
275,  6.2478671911E-01
276,  1.7590649655E-01
277,  1.4113471046E+00
278,  1.2827494730E+00
279,  1.2392800234E+00
280,  1.7984776374E-01
281, -8.5846275964E-01
282,  1.7450995175E+00
283,  2.6542106467E-02
284,  2.4146580419E-01
285,  4.8728368683E-01
286, -1.8768418570E+00
287, -1.1851884360E+00
288,  1.1971933579E-01
289, -1.5091150494E+00
290,  1.2498308145E-01
291,  2.4716762082E-01
292, -8.8949194888E-01
293,  9.5081211861E-01
294,  9.0252916525E-01
295,  1.7955301317E+00
296, -1.2709043323E-01
297, -4.1654943894E-01
298,  4.5724283324E-01
299, -1.7104475792E-01
300, -1.6230778890E+00
301, -9.7758616390E-01
302,  1.3047472738E+00
303, -1.2699213061E+00
304,  4.4081917455E-01
305,  3.9722247570E-02
306, -9.2464638372E-01
307,  8.2167396769E-02
308, -4.5774384303E-01
309,  8.1041656296E-01
310, -9.2446492247E-01
311,  3.0537110410E-01
312, -2.6891527457E-01
313, -1.4175557379E+00
314, -1.0765395695E+00
315,  2.7142104238E-01
316,  2.7932265054E-01
317,  9.2969288499E-01
318, -1.2574453015E+00
319, -4.0302443022E-01
320,  1.1076464649E+00
321,  1.7624846772E+00
322,  1.7673453363E+00
323, -7.7087424676E-01
324,  7.5431007370E-02
325,  6.5553053185E-01
326, -2.8379108026E-01
327, -1.6491582810E+00
328, -1.0929037622E+00
329,  1.7294440778E-01
330,  1.3265158147E+00
